drug,n,prevalence,B,alpha,tree_baseline_f1,tree_rappor_f1,tree_dpseg_f1,logreg_baseline_f1,logreg_rappor_f1,logreg_dpseg_f1,js_global,epsilon
marijuana,173729,0.2363278439408504,30,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.5298010092834569,1
cocaine,173729,0.019357735323405994,30,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.5298010092834569,1
crack,173729,0.0028895578746208177,30,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.5298010092834569,1
heroin,173729,0.003154338078271331,30,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.5298010092834569,1
methamphetamine,173729,0.008593844435874264,30,0.7,0.004454342984409799,0.0,0.0,0.0,0.0,0.0,0.5298010092834569,1
inhalants,173729,0.012467693937108946,30,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.5298010092834569,1
hallucinogens,173729,0.037564252370070626,30,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.5298010092834569,1
tobacco,173729,0.16289163006751894,30,0.7,0.002114413250323035,0.0,0.0,0.0035165865666393153,0.0,0.0,0.5298010092834569,1
nicotine_vaping,115739,0.1784532439367888,30,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.5298010092834569,1
opioid_misuse,173729,0.22239810279227992,30,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.5298010092834569,1
tranquilizer_misuse,173729,0.09864213804258357,30,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.5298010092834569,1
sedative_misuse,173729,0.042117320654582714,30,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.5298010092834569,1
stimulant_misuse,173729,0.0796470364763511,30,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.5298010092834569,1
pain_reliever_misuse,173729,0.22173039619176993,30,0.7,0.0003458113599031728,0.0,0.0,0.0,0.0,0.0,0.5298010092834569,1
