drug,K_new,B,alpha,acc_baseline,acc_rappor,acc_dpseg,mi_baseline,mi_rappor,mi_dpseg,mi_ratio_rappor,mi_ratio_dpseg,privacy_utility_score,js_divergence,n,prevalence,epsilon
cocaine,200,30,0.7,0.0,0.0,0.0,0.003289269442679624,0.0004915265206286012,0.00012733672013958653,0.14943334050134124,0.03871276657586643,0.0,0.3110069354915299,173729,0.019357735323405994,10
crack,30,30,0.7,0.0,0.0,0.0,0.0009754357175097774,9.56313622111473e-05,9.56313622111473e-05,0.09803963551313029,0.09803963551313029,0.0,0.0693666781336821,173729,0.0028895578746208177,10
hallucinogens,50,30,0.7,0.0,0.0,0.0,0.001548951289435063,0.0001468360005186613,0.0001114083356803614,0.09479704205044154,0.0719250091595808,0.0,0.08411959626839256,173729,0.037564252370070626,10
heroin,1500,30,0.7,0.0,0.0,0.0,0.00558260681505339,0.002703557061540255,0.00010406940663314932,0.484282191296397,0.018641722421240237,0.0,0.5403230178522054,173729,0.003154338078271331,10
inhalants,50,30,0.7,0.0,0.0,0.0,0.00049514515730224,0.00017069908746681215,7.900552676251834e-05,0.34474554572411226,0.15956033417144544,0.0,0.08411959626839256,173729,0.012467693937108946,10
marijuana,200,30,0.7,0.0,0.0,0.0,0.013089959013334465,0.00047615994872424097,0.00014150509041759224,0.03637596941588487,0.010810201183475364,0.0,0.3110069354915299,173729,0.2363278439408504,10
methamphetamine,1000,30,0.7,0.0,0.0,0.0,0.008686665635635459,0.0023086994803444855,0.00011591374595811227,0.26577510602842447,0.013343871034082088,0.0,0.5185541510238497,173729,0.008593844435874264,10
nicotine_vaping,100,30,0.7,0.0,0.0,0.0,0.012488460458049144,0.0003302750088770521,0.00016774277008300802,0.026446415071457514,0.013431821371936471,0.0,0.1822231363940486,115739,0.1784532439367888,10
opioid_misuse,200,30,0.7,0.0,0.0,0.0,0.007098324361172716,0.0004883512428466902,9.393803960849531e-05,0.06879810191795878,0.013233833060986773,0.0,0.3110069354915299,173729,0.22239810279227992,10
pain_reliever_misuse,30,30,0.7,0.0,0.0,0.0,0.002812727585358608,8.895646695258967e-05,8.895646695258972e-05,0.03162640684282555,0.03162640684282557,0.0,0.0693666781336821,173729,0.22173039619176993,10
sedative_misuse,1000,30,0.7,0.0,0.0,0.0,0.009186996443428186,0.002204076632014133,0.00011208136463412643,0.23991264670520193,0.012200000873441348,0.0,0.5185541510238497,173729,0.042117320654582714,10
stimulant_misuse,200,30,0.7,0.0,0.0,0.0,0.003629660856643494,0.0005607402328029692,0.0001054801909479838,0.15448832685748778,0.02906061891565427,0.0,0.3110069354915299,173729,0.0796470364763511,10
tobacco,200,30,0.7,0.0,0.0,0.0,0.019454613715747613,0.0005347281714343972,0.00014005077889204772,0.02748593106228367,0.00719884655323087,0.0,0.3110069354915299,173729,0.16289163006751894,10
tranquilizer_misuse,50,30,0.7,0.0,0.0,0.0,0.002789942140989883,0.00012283262081030745,8.876384644043755e-05,0.044026941994835034,0.03181565851718479,0.0,0.08411959626839256,173729,0.09864213804258357,10
