drug,n,prevalence,B,alpha,acc_baseline,acc_rappor,acc_dpseg,delta_rappor,delta_dpseg,match_rappor,hamming_rappor,match_dpseg,hamming_dpseg,sim_rappor,sim_dpseg,leaves_base,leaves_rappor,leaves_dpseg,depth_base,depth_rappor,depth_dpseg,mi_baseline,mi_rappor,mi_dpseg,mi_ratio_rappor,mi_ratio_dpseg
marijuana,173729,0.2363278439408504,30,0.7,0.7636754350620695,0.7636754350620695,0.7636754350620695,0.0,0.0,0.001133950002590241,0.9988660499974098,0.03905508003845069,0.9609449199615493,0.19047619047619047,0.21739130434782608,15,11,14,5,5,5,0.046713190451887314,0.0034371651171276104,0.00010010424255172583,0.07358018332461685,0.002142954518485076
cocaine,173729,0.019357735323405994,30,0.7,0.9806404574147624,0.9806404574147624,0.9806404574147624,0.0,0.0,0.0012490718302643773,0.9987509281697357,0.15231769019564956,0.8476823098043504,0.38461538461538464,0.18181818181818182,14,14,13,5,5,5,0.0124938756829122,0.0036425901540439115,7.862809965396059e-05,0.2915500559226678,0.006293331360860247
crack,173729,0.0028895578746208177,30,0.7,0.9971027840135076,0.9971027840135076,0.9971027840135076,0.0,0.0,0.0012605840130317908,0.9987394159869682,0.35728059218668157,0.6427194078133185,0.47368421052631576,0.14285714285714285,15,14,6,5,5,5,0.005389021904553201,0.002980384697975471,0.00013045022052115993,0.5530474269286852,0.024206659915585446
heroin,173729,0.003154338078271331,30,0.7,0.9968533548226175,0.9968533548226175,0.9968533548226175,0.0,0.0,0.0012087791905784297,0.9987912208094216,0.35053445308497716,0.6494655469150228,1.0,0.375,15,15,8,5,5,5,0.0058292244968705595,0.003071735493964708,0.00010532835752525778,0.5269543994426327,0.018069017170603687
methamphetamine,173729,0.008593844435874264,30,0.7,0.9914234732055488,0.9914042863447111,0.9914042863447111,-1.9186860837683284e-05,-1.9186860837683284e-05,0.001254827921648084,0.9987451720783519,0.2609121102406622,0.7390878897593378,0.625,0.07692307692307693,16,11,6,5,5,5,0.011198631305607939,0.003392589799380628,7.283233483298382e-05,0.3029468250893947,0.006503681820162395
inhalants,173729,0.012467693937108946,30,0.7,0.9875285404554961,0.9875285404554961,0.9875285404554961,0.0,0.0,0.001162730459508775,0.9988372695404912,0.18527131336737102,0.814728686632629,0.3548387096774194,0.3888888888888889,14,8,12,5,5,5,0.006855036411073308,0.0037379469837863057,7.753290559717852e-05,0.545284774526974,0.011310356495252959
hallucinogens,173729,0.037564252370070626,30,0.7,0.9624321264797866,0.9624321264797866,0.9624321264797866,0.0,0.0,0.0011281939112065343,0.9988718060887934,0.0884423441106551,0.9115576558893449,0.6923076923076923,0.25,13,10,8,5,5,5,0.016218678322230718,0.0034978279767753514,8.168578258351141e-05,0.21566664726193668,0.005036525231007624
tobacco,173729,0.16289163006751894,30,0.7,0.8370076171837526,0.837103551487941,0.837103551487941,9.593430418841642e-05,9.593430418841642e-05,0.0010821451801368799,0.9989178548198632,0.044978098072285,0.955021901927715,1.0,0.4,13,13,9,5,5,5,0.06324405383378327,0.0037151192975004082,0.00010309749831762015,0.05874258641396405,0.001630153224974776
nicotine_vaping,115739,0.1784532439367888,30,0.7,0.8215540579459708,0.8215540579459708,0.8215540579459708,0.0,0.0,0.0013305800119233794,0.9986694199880766,0.03829305592756115,0.9617069440724388,0.2608695652173913,0.4444444444444444,14,16,13,5,5,5,0.06279032923400361,0.005514831382908186,0.00019596197953889024,0.08782931145902755,0.0031208942830764546
opioid_misuse,173729,0.22239810279227992,30,0.7,0.7776050960302385,0.7776050960302385,0.7776050960302385,0.0,0.0,0.001162730459508775,0.9988372695404912,0.03844493435177777,0.9615550656482222,0.21739130434782608,0.4444444444444444,16,13,11,5,5,5,0.025514733087021787,0.0037274459506590144,0.00011643158768045395,0.1460899448936427,0.004563308080995664
tranquilizer_misuse,173729,0.09864213804258357,30,0.7,0.9013603484333929,0.9013603484333929,0.9013603484333929,0.0,0.0,0.0012490718302643773,0.9987509281697357,0.04205975974074565,0.9579402402592544,0.3684210526315789,0.3888888888888889,14,13,12,5,5,5,0.028845064776079114,0.003757063759030558,9.309398848137917e-05,0.13024979448637775,0.0032273801152487257
sedative_misuse,173729,0.042117320654582714,30,0.7,0.9578848404612521,0.9578848404612521,0.9578848404612521,0.0,0.0,0.0012030230991947229,0.9987969769008053,0.057474572466312476,0.9425254275336875,0.625,0.35714285714285715,13,14,7,5,5,5,0.012605890319224418,0.003787408372685223,0.00011345489078824192,0.3004475111852508,0.009000148971248727
stimulant_misuse,173729,0.0796470364763511,30,0.7,0.9203553406627142,0.9203553406627142,0.9203553406627142,0.0,0.0,0.0011799987336598957,0.9988200012663401,0.05094716483718895,0.949052835162811,0.125,0.3103448275862069,10,9,10,5,5,5,0.01715918795113555,0.003643893127277199,0.00010297624923717128,0.21235813359314915,0.006001230916662147
pain_reliever_misuse,173729,0.22173039619176993,30,0.7,0.778142328133694,0.7782766361595579,0.7782766361595579,0.000134308025863894,0.000134308025863894,0.001318144926868859,0.9986818550731311,0.038180154148127254,0.9618198458518727,1.0,0.29411764705882354,16,16,7,5,5,5,0.025204015114173372,0.0034633186854277067,4.795840197953068e-05,0.1374113874213686,0.0019028080154007475
