drug,K_new,B,alpha,acc_baseline,acc_rappor,acc_dpseg,mi_baseline,mi_rappor,mi_dpseg,mi_ratio_rappor,mi_ratio_dpseg,privacy_utility_score,js_divergence,n,prevalence
cocaine,1500,30,0.7,0.0,0.0,0.0,0.011633418970571609,0.003261278349854336,0.00010149890747022765,0.280337049504037,0.008724770226790904,0.0,0.5403230178522054,173729,0.019357735323405994
crack,1500,30,0.7,0.0,0.0,0.0,0.005127567694654768,0.0026464203781699606,8.832176402731591e-05,0.5161161267414803,0.01722488503065243,0.0,0.5403230178522054,173729,0.0028895578746208177
hallucinogens,1500,30,0.7,0.0,0.0,0.0,0.015095384497203513,0.0031506417478088748,7.698019009585506e-05,0.2087155678871608,0.005099584585613966,0.0,0.5403230178522054,173729,0.037564252370070626
heroin,1500,30,0.7,0.0,0.0,0.0,0.00558260681505339,0.002703557061540255,0.00010406940663314932,0.484282191296397,0.018641722421240237,0.0,0.5403230178522054,173729,0.003154338078271331
inhalants,1500,30,0.7,0.0,0.0,0.0,0.006197038514387746,0.0031097790985911856,5.5124845952218225e-05,0.5018169713438395,0.00889535313105351,0.0,0.5403230178522054,173729,0.012467693937108946
marijuana,1500,30,0.7,0.0,0.0,0.0,0.04294320145127832,0.003132516666964828,8.195892105859184e-05,0.07294557837097589,0.0019085424069181062,0.0,0.5403230178522054,173729,0.2363278439408504
methamphetamine,1500,30,0.7,0.004454342984409799,0.0,0.0,0.010636678283239633,0.003359575040584018,0.00010671976974256517,0.3158481389700155,0.010033185821811029,0.0,0.5403230178522054,173729,0.008593844435874264
nicotine_vaping,1500,30,0.7,0.0,0.0,0.0,0.05814099012616515,0.0044310293457715064,7.643289835493209e-05,0.07621179715302807,0.0013146129467192379,0.0,0.558081364612609,115739,0.1784532439367888
opioid_misuse,1500,30,0.7,0.0,0.0,0.0,0.023826963599177874,0.0030813269832181706,7.976391505814476e-05,0.12932100938469931,0.0033476323882450946,0.0,0.5403230178522054,173729,0.22239810279227992
pain_reliever_misuse,1500,30,0.7,0.0003458113599031728,0.0,0.0,0.023520663172851564,0.0030866928674222497,7.288980114488353e-05,0.1312332413732716,0.0030989687922156756,0.0,0.5403230178522054,173729,0.22173039619176993
sedative_misuse,1500,30,0.7,0.0,0.0,0.0,0.011682373253776732,0.003354102096860302,0.00010334129421006463,0.28710793808749197,0.00884591614778752,0.0,0.5403230178522054,173729,0.042117320654582714
stimulant_misuse,1500,30,0.7,0.0,0.0,0.0,0.01592775607778463,0.003006608760161481,8.91279064667086e-05,0.18876536942670621,0.005595760384039311,0.0,0.5403230178522054,173729,0.0796470364763511
tobacco,1500,30,0.7,0.002114413250323035,0.0,0.0,0.060290886732809836,0.0033369245078338043,0.00012572850177912528,0.05534707961125202,0.0020853649463859155,0.0,0.5403230178522054,173729,0.16289163006751894
tranquilizer_misuse,1500,30,0.7,0.0,0.0,0.0,0.025339550972896713,0.0031911264559514618,8.146447238572727e-05,0.1259346094713637,0.0032149138109377707,0.0,0.5403230178522054,173729,0.09864213804258357
