drug,K_new,B,alpha,acc_baseline,acc_rappor,acc_dpseg,mi_baseline,mi_rappor,mi_dpseg,mi_ratio_rappor,mi_ratio_dpseg,privacy_utility_score,js_divergence,n,prevalence,epsilon,js_global
cocaine,200,30,0.7,0.042332304112408826,0.037932560063092695,0.03860716280801937,0.004511599967280672,0.0005674885018535862,0.00011547936453765243,0.125784312875513,0.025596100136346226,0.03188519330919396,0.21081790013445373,173729,0.019357735323405994,10,0.4003606511606134
crack,30,30,0.7,0.009963179553822829,0.0063004225893200155,0.0063004225893200155,0.00102089289490052,0.00011133599149145077,0.00011133599149145075,0.10905746533019,0.10905746533018999,0.006189478930282584,0.0179245555703616,173729,0.0028895578746208177,10,0.4003606511606134
hallucinogens,639,30,0.7,0.07851967085601998,0.07222377102499768,0.0726715247083184,0.013547617218109237,0.001508495645894403,8.520579183653306e-05,0.11134767255440178,0.006289356310026062,0.05180742055072413,0.40272424173611265,173729,0.037564252370070626,10,0.4003606511606134
heroin,50,30,0.7,0.008182636445462728,0.00610154717803443,0.006462984723854289,0.001038095078058747,0.00017223937081868373,9.008751398703575e-05,0.16591868554157282,0.08678156354955532,0.0062718363299533834,0.030477261179155557,173729,0.003154338078271331,10,0.4003606511606134
inhalants,30,30,0.7,0.029675442578302316,0.022286062505440934,0.022286062505440934,0.0007377620424283759,9.59272819080789e-05,9.59272819080789e-05,0.13002469141991918,0.13002469141991918,0.02189362893692416,0.0179245555703616,173729,0.012467693937108946,10,0.4003606511606134
marijuana,100,30,0.7,0.3954599089734225,0.025571901717630748,0.0920257360109183,0.011052527670744132,0.0003328342200698205,0.00012229024042048316,0.03011385539896249,0.011064459105059155,0.08344519925949496,0.10282840507984028,173729,0.2363278439408504,10,0.4003606511606134
methamphetamine,639,30,0.7,0.01911978501255562,0.01711411336172837,0.015802175278521603,0.008466845057088218,0.001727465531603213,0.0001074150660167748,0.20402706320425984,0.012686551518602523,0.01126534696439244,0.40272424173611265,173729,0.008593844435874264,10,0.4003606511606134
nicotine_vaping,639,30,0.7,0.3278776929921536,0.30273269660438507,0.12771365032299056,0.05483569776743507,0.002185499359189127,0.00016941790196067785,0.03985541259013605,0.0030895549588736883,0.09083871321752761,0.4059385673722625,115739,0.1784532439367888,10,0.4003606511606134
opioid_misuse,639,30,0.7,0.37221374045801525,0.010428054831385081,0.1305097266683083,0.020121341735948026,0.001528090899471967,0.00014436593926322712,0.07594378742357612,0.007174767028846213,0.0930401876471316,0.40272424173611265,173729,0.22239810279227992,10,0.4003606511606134
pain_reliever_misuse,639,30,0.7,0.3726790450928382,0.006135492117596932,0.10734163795388285,0.019851978802733566,0.0015208487900417885,0.0001350040224129957,0.0766094304831905,0.006800532267060753,0.07652369208436087,0.40272424173611265,173729,0.22173039619176993,10,0.4003606511606134
sedative_misuse,50,30,0.7,0.08844333621698641,0.08079579343902056,0.08193356141706214,0.001670962971867062,0.0001805385937907348,9.874651645193756e-05,0.10804464062360923,0.05909557429725834,0.07951030508262465,0.030477261179155557,173729,0.042117320654582714,10,0.4003606511606134
stimulant_misuse,100,30,0.7,0.14675738523813625,0.14745348061383348,0.14814247708002373,0.0036083114393914194,0.00032188153071279044,0.00016016692001808114,0.08920558441792353,0.04438833030584938,0.13432958055636846,0.10282840507984028,173729,0.0796470364763511,10,0.4003606511606134
tobacco,500,30,0.7,0.3003371912877062,0.2799236451157772,0.10342019543973942,0.04720818461547376,0.0009553619098417844,0.00010020005429313677,0.0202372092386844,0.0021225144561117797,0.07501943462674598,0.3785787103608479,173729,0.16289163006751894,10,0.4003606511606134
tranquilizer_misuse,500,30,0.7,0.12765409857161242,0.17926824965599972,0.1752803357764831,0.02229446279073044,0.0012053244488835048,8.802717845224069e-05,0.0540638480593779,0.003948387511218279,0.12714568595840484,0.3785787103608479,173729,0.09864213804258357,10,0.4003606511606134
