drug,n,prevalence,B,alpha,tree_baseline_f1,tree_rappor_f1,tree_dpseg_f1,logreg_baseline_f1,logreg_rappor_f1,logreg_dpseg_f1,js_global,epsilon
marijuana,173729,0.2363278439408504,30,0.7,0.3987220008245156,0.3819786663339779,0.22515115925007612,0.45853000674308836,0.3192851357353748,0.3193348966105308,0.4052837335586774,3
cocaine,173729,0.019357735323405994,30,0.7,0.04237214927436075,0.03791342272892476,0.037255582552354505,0.06908256880733946,0.03844305622296973,0.036225233493494574,0.4052837335586774,3
crack,173729,0.0028895578746208177,30,0.7,0.006547579812361304,0.004672897196261682,0.0064282844515869825,0.012658227848101266,0.005668768020329375,0.005564486212439718,0.4052837335586774,3
heroin,173729,0.003154338078271331,30,0.7,0.007153515316422365,0.004310344827586207,0.006336711600905245,0.01611295681063123,0.006427285971377153,0.006603578903923823,0.4052837335586774,3
methamphetamine,173729,0.008593844435874264,30,0.7,0.01911978501255562,0.01691682241189958,0.0115990057995029,0.04434250764525994,0.016481830535221145,0.016009382788447442,0.4052837335586774,3
inhalants,173729,0.012467693937108946,30,0.7,0.026549218959023648,0.024682367820937853,0.012175324675324676,0.039951573849878935,0.023419025097261424,0.02201509098979139,0.4052837335586774,3
hallucinogens,173729,0.037564252370070626,30,0.7,0.07851967085601998,0.012131715771230503,0.07193733599037153,0.12186291450670617,0.071410204606399,0.06845878136200717,0.4052837335586774,3
tobacco,173729,0.16289163006751894,30,0.7,0.302540500736377,0.27975378472799867,0.17559900853759294,0.40186823015005463,0.24713361334998296,0.24311403102927115,0.4052837335586774,3
nicotine_vaping,115739,0.1784532439367888,30,0.7,0.3278776929921536,0.30266059091577246,0.2985717286284394,0.4122025176881375,0.2634875383352771,0.28090950495743267,0.4052837335586774,3
opioid_misuse,173729,0.22239810279227992,30,0.7,0.37221374045801525,0.006445047489823609,0.11457325333849429,0.3906582997868814,0.30293559549056814,0.3086293885446893,0.4052837335586774,3
tranquilizer_misuse,173729,0.09864213804258357,30,0.7,0.12740167633784655,0.1795968448729185,0.17464582840681903,0.25456872644528195,0.15967784877529287,0.16642499926020182,0.4052837335586774,3
sedative_misuse,173729,0.042117320654582714,30,0.7,0.11339846475924634,0.08073659639112231,0.08051063482676346,0.12302779864763336,0.07757882589435283,0.07800224466891134,0.4052837335586774,3
stimulant_misuse,173729,0.0796470364763511,30,0.7,0.11082547843473294,0.14752284408909194,0.05033029254482542,0.1956482647005934,0.1361792672385132,0.13961681255250535,0.4052837335586774,3
pain_reliever_misuse,173729,0.22173039619176993,30,0.7,0.3726790450928382,0.3622945638432364,0.3545121106096716,0.39089161959117114,0.3044511668107174,0.3295510167756864,0.4052837335586774,3
