drug,K_new,B,alpha,acc_baseline,acc_rappor,acc_dpseg,mi_baseline,mi_rappor,mi_dpseg,mi_ratio_rappor,mi_ratio_dpseg,privacy_utility_score,js_divergence,n,prevalence,epsilon,js_global
cocaine,50,30,0.7,0.045279033695257584,0.027634563827593318,0.03799524564183835,0.001493650399688755,0.00013722355162160143,7.799358201966243e-05,0.09187126495610748,0.0522167583766018,0.03686951316695219,0.030532881456520194,173729,0.019357735323405994,5,0.40247649792706774
crack,30,30,0.7,0.009963179553822829,0.006340927104906548,0.006340927104906548,0.00102089289490052,0.00011239352644734226,0.00011239352644734226,0.11009335749985245,0.11009335749985245,0.0062277426365603735,0.018174236629773022,173729,0.0028895578746208177,5,0.40247649792706774
hallucinogens,100,30,0.7,0.08082950394721339,0.07205006869180278,0.07050374907593199,0.0032996452795623285,0.000207677951791953,7.467170699088934e-05,0.06293947809429376,0.022630222543434712,0.06389590346140248,0.10341579438689859,173729,0.037564252370070626,5,0.40247649792706774
heroin,50,30,0.7,0.008182636445462728,0.005662020905923345,0.006521163212488027,0.001038095078058747,0.0001426913158585555,7.675940941437034e-05,0.137454958485489,0.07394256175254349,0.00632795258630781,0.030532881456520194,173729,0.003154338078271331,5,0.40247649792706774
inhalants,50,30,0.7,0.028409660286601864,0.02472952086553323,0.024340861052397373,0.0009287244934430101,0.00014350436282552966,7.184338531598818e-05,0.1545176894102617,0.07735704810545814,0.02361968403957652,0.030532881456520194,173729,0.012467693937108946,5,0.40247649792706774
marijuana,500,30,0.7,0.3987103157679251,0.38160668280115545,0.3721449041580149,0.033961587639407334,0.001222062436602634,8.135626715595696e-05,0.03598366629905763,0.0023955378064114763,0.2699179098791025,0.3787336465546146,173729,0.2363278439408504,5,0.40247649792706774
methamphetamine,30,30,0.7,0.027301365068253414,0.021062485373274046,0.021062485373274046,0.001942788225471155,0.00010237445335144312,0.00010237445335144312,0.052694602535289604,0.052694602535289604,0.020686523598350246,0.018174236629773022,173729,0.008593844435874264,5,0.40247649792706774
nicotine_vaping,500,30,0.7,0.32401013198240236,0.30218873870546814,0.30053694707236,0.045080112185814473,0.0015508154936949635,8.900221498910413e-05,0.034401322856134425,0.0019743121894250917,0.2172145205615705,0.3835951035656999,115739,0.1784532439367888,5,0.40247649792706774
opioid_misuse,100,30,0.7,0.3678419374458595,0.36146939299998393,0.3605673159716017,0.006726545013631048,0.0002401118724557347,9.63206949465981e-05,0.03569616674966993,0.014319490132216232,0.3267737491214245,0.10341579438689859,173729,0.22239810279227992,5,0.40247649792706774
pain_reliever_misuse,30,30,0.7,0.36474991493705344,0.35693963064507783,0.35693963064507783,0.004154137341575107,9.534821565503125e-05,9.534821565503125e-05,0.022952591071261613,0.022952591071261613,0.35056831905958713,0.018174236629773022,173729,0.22173039619176993,5,0.40247649792706774
sedative_misuse,50,30,0.7,0.08844333621698641,0.08067386404081149,0.08155021144985167,0.001670962971867062,0.00012751420984793115,7.534959199447747e-05,0.07631181061148964,0.04509351389772873,0.07913402174474177,0.030532881456520194,173729,0.042117320654582714,5,0.40247649792706774
stimulant_misuse,100,30,0.7,0.14675738523813625,0.14757439869547492,0.14817933066722797,0.0036083114393914194,0.00030651142524262565,0.0001591619547293804,0.08494594504689487,0.04410981629574214,0.13429147146616863,0.10341579438689859,173729,0.0796470364763511,5,0.40247649792706774
tobacco,50,30,0.7,0.31112289539970833,0.27490886998784936,0.27588797685906946,0.010738609785145636,0.0001292166824399595,8.158792659582366e-05,0.012032906030229412,0.0075976246672713205,0.26771390008355556,0.030532881456520194,173729,0.16289163006751894,5,0.40247649792706774
tranquilizer_misuse,30,30,0.7,0.18263103802672148,0.17921402358641822,0.17921402358641822,0.003255478406919045,7.747055627708993e-05,7.747055627708993e-05,0.023796980533625275,0.023796980533625275,0.17601508380297365,0.018174236629773022,173729,0.09864213804258357,5,0.40247649792706774
