drug,K_new,B,alpha,f1_baseline,f1_rappor,f1_dpseg,mi_baseline,mi_rappor,mi_dpseg,mi_ratio_rappor,mi_ratio_dpseg,privacy_utility_score,js_divergence,n,prevalence,epsilon,js_global
cocaine,50,30,0.7,0.05049809484460359,0.03868398596757372,0.03828046183163322,0.001493650399688755,0.0001509501361993523,8.880653481005089e-05,0.10106122304845036,0.05945603792464173,0.03714828388142172,0.030477261179155557,173729,0.019357735323405994,10.0,0.4003606511606134
crack,30,30,0.7,0.01402049148755874,0.006463713749819651,0.006463713749819651,0.00102089289490052,0.00011133599149145077,0.00011133599149145075,0.10905746533019,0.10905746533018999,0.0063498947092379705,0.0179245555703616,173729,0.0028895578746208177,10.0,0.4003606511606134
hallucinogens,50,30,0.7,0.08774128854349461,0.07001037190694918,0.07150829942750153,0.0014036003571049162,0.00013535586684016742,6.748600659438914e-05,0.096434762327472,0.04808064222325122,0.06939337928298965,0.030477261179155557,173729,0.037564252370070626,10.0,0.4003606511606134
heroin,50,30,0.7,0.010245559329584052,0.006695598264104154,0.006534204560608081,0.001038095078058747,0.00017223937081868373,9.008751398703575e-05,0.16591868554157282,0.08678156354955532,0.006340949778097107,0.030477261179155557,173729,0.003154338078271331,10.0,0.4003606511606134
inhalants,50,30,0.7,0.03228661749209694,0.02530233650346366,0.026897819805621222,0.0009287244934430101,0.00015296928698527412,7.294703689562655e-05,0.16470900473204853,0.07854540007359334,0.026102293392522374,0.030477261179155557,173729,0.012467693937108946,10.0,0.4003606511606134
marijuana,30,30,0.7,0.3226515656229181,0.3164546793412773,0.3164546793412773,0.003614835143632553,7.173765278818277e-05,7.173765278818277e-05,0.0198453456209606,0.0198453456209606,0.31088225311939943,0.0179245555703616,173729,0.2363278439408504,10.0,0.4003606511606134
methamphetamine,30,30,0.7,0.028824184193567286,0.017634854771784232,0.017634854771784232,0.001942788225471155,8.008751922394033e-05,8.008751922394033e-05,0.04122297951672932,0.04122297951672932,0.017324323964169528,0.0179245555703616,173729,0.008593844435874264,10.0,0.4003606511606134
nicotine_vaping,50,30,0.7,0.29752611324903794,0.2606057979806734,0.24860870785203198,0.00606910049278784,0.00014646383500315093,0.0001040822986841052,0.024132708821875643,0.017149542804208044,0.23993458508464222,0.036152031872894806,115739,0.1784532439367888,10.0,0.4003606511606134
opioid_misuse,30,30,0.7,0.35126543285936074,0.33636634210638205,0.33636634210638205,0.004249929744636145,7.97111553330601e-05,7.97111553330601e-05,0.01875587600798905,0.01875587600798905,0.3304432929392394,0.0179245555703616,173729,0.22239810279227992,10.0,0.4003606511606134
pain_reliever_misuse,30,30,0.7,0.353451266042317,0.3381599747075561,0.3381599747075561,0.004154137341575107,8.239806477083173e-05,8.239806477083173e-05,0.019835180687499655,0.019835180687499655,0.3322053416012535,0.0179245555703616,173729,0.22173039619176993,10.0,0.4003606511606134
sedative_misuse,50,30,0.7,0.09540993706816882,0.08110693107186125,0.08021118895319322,0.001670962971867062,0.0001805385937907348,9.874651645193756e-05,0.10804464062360923,0.05909557429725834,0.07783887328227805,0.030477261179155557,173729,0.042117320654582714,10.0,0.4003606511606134
stimulant_misuse,50,30,0.7,0.16246635674088575,0.13839285714285715,0.13922491393196676,0.002097259226189446,9.936581447591078e-05,7.616319097726717e-05,0.04737889014151608,0.036315582750182804,0.13510721602207346,0.030477261179155557,173729,0.0796470364763511,10.0,0.4003606511606134
tobacco,30,30,0.7,0.30158183002029954,0.2508820496118982,0.2508820496118982,0.00843525044363992,8.034591901257741e-05,8.034591901257741e-05,0.009525018794570267,0.009525018794570267,0.24646428680691806,0.0179245555703616,173729,0.16289163006751894,10.0,0.4003606511606134
tranquilizer_misuse,30,30,0.7,0.2003966107806021,0.16949738039035062,0.16949738039035062,0.003255478406919045,6.931212539152987e-05,6.931212539152982e-05,0.021290918485042644,0.021290918485042627,0.16651271399517242,0.0179245555703616,173729,0.09864213804258357,10.0,0.4003606511606134
