drug,n,prevalence,B,alpha,tree_baseline_f1,tree_rappor_f1,tree_dpseg_f1,logreg_baseline_f1,logreg_rappor_f1,logreg_dpseg_f1,js_global,epsilon
marijuana,173729,0.2363278439408504,30,0.7,0.45830195049736383,0.31602780117944396,0.31430991582402457,0.45853000674308836,0.3167254169516494,0.3201225740551583,0.4003606511606134,10.0
cocaine,173729,0.019357735323405994,30,0.7,0.0689125028261361,0.03684813980152611,0.03705843145967563,0.06908256880733946,0.036826748679126255,0.03705843145967563,0.4003606511606134,10.0
crack,173729,0.0028895578746208177,30,0.7,0.012479046377351461,0.006341936052144808,0.005527169896204891,0.012658227848101266,0.006287915688792454,0.005527169896204891,0.4003606511606134,10.0
heroin,173729,0.003154338078271331,30,0.7,0.01641382740611788,0.006216070614562181,0.006262097233291586,0.01611295681063123,0.006252865896869399,0.006262097233291586,0.4003606511606134,10.0
methamphetamine,173729,0.008593844435874264,30,0.7,0.044291714394807176,0.017786234281932496,0.017689601250977325,0.04434250764525994,0.01809414074168907,0.017689601250977325,0.4003606511606134,10.0
inhalants,173729,0.012467693937108946,30,0.7,0.03983039958884749,0.024691358024691357,0.023398723705979674,0.039951573849878935,0.024770275669196963,0.023398723705979674,0.4003606511606134,10.0
hallucinogens,173729,0.037564252370070626,30,0.7,0.12205111402359109,0.0666462647488864,0.0684184967355528,0.12186291450670617,0.06659099508134696,0.0684184967355528,0.4003606511606134,10.0
tobacco,173729,0.16289163006751894,30,0.7,0.4020994216561361,0.24005103590740628,0.24642015066996378,0.40186823015005463,0.23912309251128375,0.24642015066996378,0.4003606511606134,10.0
nicotine_vaping,115739,0.1784532439367888,30,0.7,0.41171348700792815,0.2663253351846227,0.2732838942764784,0.4122025176881375,0.26524779033463786,0.2732838942764784,0.4003606511606134,10.0
opioid_misuse,173729,0.22239810279227992,30,0.7,0.38941805261114926,0.3086495909883331,0.29999157800174053,0.3906582997868814,0.30972222222222223,0.29999157800174053,0.4003606511606134,10.0
tranquilizer_misuse,173729,0.09864213804258357,30,0.7,0.25459719011203985,0.1632282612489964,0.16415081567724904,0.25456872644528195,0.16343076594836783,0.16415081567724904,0.4003606511606134,10.0
sedative_misuse,173729,0.042117320654582714,30,0.7,0.12275617053103964,0.07673695126166609,0.07805775485397023,0.12302779864763336,0.07667462435051257,0.07805775485397023,0.4003606511606134,10.0
stimulant_misuse,173729,0.0796470364763511,30,0.7,0.19544951244776226,0.1382388940888473,0.12944120100083403,0.1956482647005934,0.13829248897563798,0.1309599491417673,0.4003606511606134,10.0
pain_reliever_misuse,173729,0.22173039619176993,30,0.7,0.39048679046335893,0.3057404101065844,0.2946469509399358,0.39089161959117114,0.30566527785293,0.2946469509399358,0.4003606511606134,10.0
