drug,K_new,B,alpha,f1_baseline,f1_rappor,f1_dpseg,mi_baseline,mi_rappor,mi_dpseg,mi_ratio_rappor,mi_ratio_dpseg,privacy_utility_score,js_divergence,n,prevalence,epsilon,js_global
cocaine,200,30,0.7,0.05994769664051499,0.03795491852504304,0.03973335093393175,0.004511599967280672,0.0005489343076247317,0.000132804615300345,0.12167175982040739,0.02943625681875156,0.032790595069045816,0.21173009670202259,173729,0.019357735323405994,5.0,0.40247649792706774
crack,30,30,0.7,0.01402049148755874,0.006608536025699862,0.006608536025699862,0.00102089289490052,0.00011239352644734226,0.00011239352644734226,0.11009335749985245,0.11009335749985245,0.006490574783717345,0.018174236629773022,173729,0.0028895578746208177,5.0,0.40247649792706774
hallucinogens,639,30,0.7,0.12205111402359109,0.06912338637045932,0.07152835987706063,0.013547617218109237,0.0014214370195223367,9.501449024461615e-05,0.10492155163804653,0.007013372810504959,0.050999562258919474,0.4025288984622769,173729,0.037564252370070626,5.0,0.40247649792706774
heroin,200,30,0.7,0.012135447249951067,0.006553837850341185,0.006454151908697363,0.0021508390749311363,0.0005793964403414,9.805862797224375e-05,0.2693815855841984,0.045590871541788085,0.00532639399340141,0.21173009670202259,173729,0.003154338078271331,5.0,0.40247649792706774
inhalants,30,30,0.7,0.031114246463446328,0.024026512013256007,0.024026512013256007,0.0007377620424283759,0.00011114100463495533,0.00011114100463495533,0.15064614095505627,0.15064614095505627,0.023597642867870455,0.018174236629773022,173729,0.012467693937108946,5.0,0.40247649792706774
marijuana,100,30,0.7,0.3780324027773809,0.32509586706433746,0.25840280659398696,0.011052527670744132,0.00033911831580696436,0.00014747723611733014,0.030682421787063718,0.013343303949168123,0.2341844370077789,0.10341579438689859,173729,0.2363278439408504,5.0,0.40247649792706774
methamphetamine,639,30,0.7,0.044291714394807176,0.0166865315852205,0.0158074509492414,0.008466845057088218,0.001647065117722822,0.0001277306236670239,0.19453115140496668,0.015085976276380681,0.01127067753582303,0.4025288984622769,173729,0.008593844435874264,5.0,0.40247649792706774
nicotine_vaping,639,30,0.7,0.41171348700792815,0.25601034037052994,0.2401665154507125,0.05483569776743507,0.002175849136932766,0.0001675836827782994,0.03967942828339323,0.003056105595465246,0.1708291097740456,0.40588753151250956,115739,0.1784532439367888,5.0,0.40247649792706774
opioid_misuse,639,30,0.7,0.38941805261114926,0.30576826263215073,0.3121059428253108,0.020121341735948026,0.001349690740863695,9.729706914655728e-05,0.06707757159416405,0.004835515962274525,0.22253084636437911,0.4025288984622769,173729,0.22239810279227992,5.0,0.40247649792706774
pain_reliever_misuse,30,30,0.7,0.353451266042317,0.33856611789697294,0.33856611789697294,0.004154137341575107,9.534821565503125e-05,9.534821565503125e-05,0.022952591071261613,0.022952591071261613,0.33252277038324024,0.018174236629773022,173729,0.22173039619176993,5.0,0.40247649792706774
sedative_misuse,500,30,0.7,0.12010789834839809,0.0765664614270192,0.07823810257200062,0.00876259747086992,0.0012022625501967922,0.00011015460740745799,0.13720390034958843,0.012570999383875866,0.05674635036833522,0.3787336465546146,173729,0.042117320654582714,5.0,0.40247649792706774
stimulant_misuse,100,30,0.7,0.17010392984735304,0.13772127674116602,0.14149115680269983,0.0036083114393914194,0.00030651142524262565,0.0001591619547293804,0.08494594504689487,0.04410981629574214,0.12823013547791196,0.10341579438689859,173729,0.0796470364763511,5.0,0.40247649792706774
tobacco,500,30,0.7,0.3885131823973341,0.2445332149726291,0.2507423292642692,0.04720818461547376,0.001043101675247769,0.00010903738065910426,0.022095780292001828,0.0023097134860670812,0.18186422728629387,0.3787336465546146,173729,0.16289163006751894,5.0,0.40247649792706774
tranquilizer_misuse,500,30,0.7,0.25208077260755046,0.1653552912473315,0.16153283214689643,0.02229446279073044,0.0011200986419076498,8.697691786358451e-05,0.05024111378783089,0.0039012789265210576,0.11716028875523475,0.3787336465546146,173729,0.09864213804258357,5.0,0.40247649792706774
