drug,n,prevalence,B,alpha,tree_baseline_f1,tree_rappor_f1,tree_dpseg_f1,logreg_baseline_f1,logreg_rappor_f1,logreg_dpseg_f1,js_global,epsilon
marijuana,173729,0.2363278439408504,30,0.7,0.45830195049736383,0.31851851851851853,0.3281703539283362,0.45853000674308836,0.31851851851851853,0.32847212094696415,0.4409028347578777,1.0
cocaine,173729,0.019357735323405994,30,0.7,0.0689125028261361,0.037218262377191294,0.040202721940663974,0.06908256880733946,0.03727916569382831,0.03910174332709544,0.4409028347578777,1.0
crack,173729,0.0028895578746208177,30,0.7,0.012479046377351461,0.0068303648625280995,0.005313978355258895,0.012658227848101266,0.006878836692933954,0.005313978355258895,0.4409028347578777,1.0
heroin,173729,0.003154338078271331,30,0.7,0.01641382740611788,0.006679747839519058,0.0058713010803193985,0.01611295681063123,0.006668636306081965,0.0058713010803193985,0.4409028347578777,1.0
methamphetamine,173729,0.008593844435874264,30,0.7,0.044291714394807176,0.018033060611120387,0.016679207424128418,0.04434250764525994,0.01810031294933604,0.016679207424128418,0.4409028347578777,1.0
inhalants,173729,0.012467693937108946,30,0.7,0.03983039958884749,0.02318865200033976,0.024821292775665398,0.039951573849878935,0.023463203463203464,0.024821292775665398,0.4409028347578777,1.0
hallucinogens,173729,0.037564252370070626,30,0.7,0.12205111402359109,0.0667365740393978,0.06814120404277135,0.12186291450670617,0.06635596981802042,0.06814120404277135,0.4409028347578777,1.0
tobacco,173729,0.16289163006751894,30,0.7,0.4020994216561361,0.23861001535728266,0.2547886737455757,0.40186823015005463,0.23845249932206453,0.2547886737455757,0.4409028347578777,1.0
nicotine_vaping,115739,0.1784532439367888,30,0.7,0.41171348700792815,0.2707629113003295,0.2550694212510139,0.4122025176881375,0.2696794262507561,0.2550694212510139,0.4409028347578777,1.0
opioid_misuse,173729,0.22239810279227992,30,0.7,0.38941805261114926,0.30838387062453454,0.2875140062384543,0.3906582997868814,0.3085735402808574,0.2875140062384543,0.4409028347578777,1.0
tranquilizer_misuse,173729,0.09864213804258357,30,0.7,0.25459719011203985,0.1620123203285421,0.1716824052010708,0.25456872644528195,0.16210288220980842,0.1716824052010708,0.4409028347578777,1.0
sedative_misuse,173729,0.042117320654582714,30,0.7,0.12275617053103964,0.07549917602422106,0.07651075703061899,0.12302779864763336,0.07506723011909336,0.07651075703061899,0.4409028347578777,1.0
stimulant_misuse,173729,0.0796470364763511,30,0.7,0.19544951244776226,0.13704894605216147,0.13725844320028896,0.1956482647005934,0.13704894605216147,0.13725844320028896,0.4409028347578777,1.0
pain_reliever_misuse,173729,0.22173039619176993,30,0.7,0.39048679046335893,0.30509587242539454,0.3043309703145769,0.39089161959117114,0.3050151850939834,0.3207022677395757,0.4409028347578777,1.0
