drug,n,prevalence,B,alpha,acc_baseline,acc_rappor,acc_dpseg,delta_rappor,delta_dpseg,match_rappor,hamming_rappor,match_dpseg,hamming_dpseg,sim_rappor,sim_dpseg,leaves_base,leaves_rappor,leaves_dpseg,depth_base,depth_rappor,depth_dpseg,mi_baseline,mi_rappor,mi_dpseg,mi_ratio_rappor,mi_ratio_dpseg
marijuana,173729,0.2363278439408504,30,0.7,0.0,0.0,0.0,0.0,0.0,0.00122604746472955,0.9987739525352705,0.03891117775385802,0.961088822246142,0.21739130434782608,0.24324324324324326,15,14,9,5,5,5,0.046713190451887314,0.003613504478017948,6.741365936971475e-05,0.07735512053580906,0.0014431396938975529
cocaine,173729,0.019357735323405994,30,0.7,0.0,0.0,0.0,0.0,0.0,0.0011281939112065343,0.9988718060887934,0.1537912495898785,0.8462087504101214,0.3,0.4117647058823529,14,13,11,5,5,5,0.0124938756829122,0.0038611532262582083,9.655451360045855e-05,0.3090436726162631,0.007728147458079448
crack,173729,0.0028895578746208177,30,0.7,0.0,0.0,0.0,0.0,0.0,0.00122604746472955,0.9987739525352705,0.35524293583684935,0.6447570641631506,0.23076923076923078,0.2222222222222222,15,10,8,5,5,5,0.005389021904553201,0.002963079853253249,7.520993208414918e-05,0.549836297891039,0.013956137758617027
heroin,173729,0.003154338078271331,30,0.7,0.0,0.0,0.0,0.0,0.0,0.001162730459508775,0.9988372695404912,0.34967679546880487,0.6503232045311951,1.0,0.2222222222222222,15,15,8,5,5,5,0.0058292244968705595,0.00300772061825277,0.00010159461090852233,0.5159726855377548,0.017428495156270575
methamphetamine,173729,0.008593844435874264,30,0.7,0.004454342984409799,0.0,0.0,-0.004454342984409799,-0.004454342984409799,0.0011569743681250683,0.9988430256318749,0.2601177696297106,0.7398822303702894,0.5,0.2,16,9,9,5,5,5,0.011198631305607939,0.003371655466831173,9.796602212603275e-05,0.3010774598091062,0.00874803531365251
inhalants,173729,0.012467693937108946,30,0.7,0.0,0.0,0.0,0.0,0.0,0.0012318035561132569,0.9987681964438867,0.1853231181898244,0.8146768818101756,0.8620689655172413,0.2727272727272727,14,14,8,5,5,5,0.006855036411073308,0.0035028419430838285,8.139661685544719e-05,0.5109880871566925,0.011873987528930242
hallucinogens,173729,0.037564252370070626,30,0.7,0.0,0.0,0.0,0.0,0.0,0.001375705840705927,0.9986242941592941,0.08938634309758302,0.910613656902417,0.5882352941176471,0.4117647058823529,13,15,12,5,5,5,0.016218678322230718,0.003469466419193537,8.606106077534967e-05,0.21391795004886358,0.005306293094017837
tobacco,173729,0.16289163006751894,30,0.7,0.002114413250323035,0.0,0.0,-0.002114413250323035,-0.002114413250323035,0.0012145352819621365,0.9987854647180379,0.045346487920842234,0.9546535120791577,0.2,1.0,13,12,13,5,5,5,0.06324405383378327,0.0037065047956175157,7.308419148077325e-05,0.05860637595051822,0.0011555899258585104
nicotine_vaping,115739,0.1784532439367888,30,0.7,0.0,0.0,0.0,0.0,0.0,0.0011059366332869646,0.998894063366713,0.038414017746826915,0.961585982253173,0.23529411764705882,0.47058823529411764,14,8,12,5,5,5,0.06279032923400361,0.005056309960219935,9.387705858226146e-05,0.08052689039702836,0.0014950878539337722
opioid_misuse,173729,0.22239810279227992,30,0.7,0.0,0.0,0.0,0.0,0.0,0.0011512182767413615,0.9988487817232586,0.038013227497999756,0.9619867725020003,1.0,0.21052631578947367,16,16,8,5,5,5,0.025514733087021787,0.003671475513922499,0.0001041691133816993,0.14389629322793174,0.00408270441342322
tranquilizer_misuse,173729,0.09864213804258357,30,0.7,0.0,0.0,0.0,0.0,0.0,0.0012951205613340316,0.9987048794386659,0.04247995441175624,0.9575200455882438,0.3684210526315789,0.4,14,13,15,5,5,5,0.028845064776079114,0.0037154128376065965,6.058385394784859e-05,0.12880584136138762,0.002100319566558578
sedative_misuse,173729,0.042117320654582714,30,0.7,0.0,0.0,0.0,0.0,0.0,0.0011857548250436025,0.9988142451749564,0.05786023058902083,0.9421397694109792,0.2857142857142857,0.5,13,15,12,5,5,5,0.012605890319224418,0.0036182005631287656,0.00010149676632602588,0.2870245949713591,0.008051534937698118
stimulant_misuse,173729,0.0796470364763511,30,0.7,0.0,0.0,0.0,0.0,0.0,0.0011742426422761889,0.9988257573577238,0.051183164583920936,0.9488168354160791,0.2631578947368421,0.4,10,15,12,5,5,5,0.01715918795113555,0.003635822111502469,7.752566401852625e-05,0.21188777242001475,0.004518026391417655
pain_reliever_misuse,173729,0.22173039619176993,30,0.7,0.0003458113599031728,0.0,0.0,-0.0003458113599031728,-0.0003458113599031728,0.0010936573629042935,0.9989063426370957,0.03922200668857819,0.9607779933114218,1.0,0.29411764705882354,16,16,7,5,5,5,0.025204015114173372,0.0037292088989138747,0.00010844984509290976,0.14796090551527918,0.004302879703953337
