drug,K_new,B,alpha,acc_baseline,acc_rappor,acc_dpseg,mi_baseline,mi_rappor,mi_dpseg,mi_ratio_rappor,mi_ratio_dpseg,privacy_utility_score,js_divergence,n,prevalence,epsilon,js_global
cocaine,639,30,0.7,0.04237214927436075,0.03803914117423523,0.03272958373053702,0.01013308479996462,0.0015687176401716638,0.00012811791443115083,0.154811458814313,0.012643525339055503,0.02268736592110401,0.44263480583665477,173729,0.019357735323405994,1,0.4409028347578777
crack,30,30,0.7,0.009963179553822829,0.006114338122898196,0.006114338122898196,0.00102089289490052,0.00014401209519279993,0.00014401209519279993,0.14106484226911292,0.14106484226911292,0.00572307538162871,0.06836581997949116,173729,0.0028895578746208177,1,0.4409028347578777
hallucinogens,639,30,0.7,0.07851967085601998,0.003938946331856229,0.06793435129043522,0.013547617218109237,0.0014260952726585664,0.00010925617239797671,0.10526539462247947,0.008064604324067621,0.04709047016998648,0.44263480583665477,173729,0.037564252370070626,1,0.4409028347578777
heroin,639,30,0.7,0.007153515316422365,0.0,0.005158264947245018,0.004382365129632597,0.0014631422133578398,8.786941226573453e-05,0.3338704489647363,0.020050682603231923,0.003575586091764566,0.44263480583665477,173729,0.003154338078271331,1,0.4409028347578777
inhalants,30,30,0.7,0.029675442578302316,0.023444200895835317,0.023444200895835317,0.0007377620424283759,0.00010579147618086323,0.00010579147618086323,0.14339511942447727,0.14339511942447727,0.0219439825361367,0.06836581997949116,173729,0.012467693937108946,1,0.4409028347578777
marijuana,50,30,0.7,0.3702213279678068,0.3769928307198743,0.3759523295765764,0.0047273498041412836,0.00017139854972367946,0.00010927638243382566,0.03625679436151093,0.023115780926153733,0.34768252822754825,0.08130923774957821,173729,0.2363278439408504,1,0.4409028347578777
methamphetamine,30,30,0.7,0.027301365068253414,0.015954950727358048,0.015954950727358048,0.001942788225471155,0.0001134331455394802,0.0001134331455394802,0.05838677836951116,0.05838677836951116,0.014933977134970796,0.06836581997949116,173729,0.008593844435874264,1,0.4409028347578777
nicotine_vaping,100,30,0.7,0.22625529340592862,0.3022043491212392,0.3019773516986226,0.01345390745013925,0.0004062764219185373,0.00017636421357916914,0.030197652497924107,0.01310877261738141,0.25401278481967376,0.18882737305131847,115739,0.1784532439367888,1,0.4409028347578777
opioid_misuse,100,30,0.7,0.3678419374458595,0.3601639803091918,0.35587126804105806,0.006726545013631048,0.00022809867315593403,8.917259436823973e-05,0.03391022771626475,0.013256819687898526,0.3034923179392767,0.17258740009446105,173729,0.22239810279227992,1,0.4409028347578777
pain_reliever_misuse,100,30,0.7,0.3675229425422917,0.3612254822499595,0.18410514426532498,0.006577442855153931,0.00022952112964315504,9.099685434563794e-05,0.034895191748159034,0.01383468565969143,0.15700760919867796,0.17258740009446105,173729,0.22173039619176993,1,0.4409028347578777
sedative_misuse,100,30,0.7,0.08638564175227299,0.03602676273803397,0.05336465849974828,0.002386750277692715,0.0002390489298275149,0.0001074572791554804,0.10015665738545754,0.04502242239576063,0.04551017561287912,0.17258740009446105,173729,0.042117320654582714,1,0.4409028347578777
stimulant_misuse,200,30,0.7,0.1493103448275862,0.14619433880968885,0.10498808700330489,0.005658109447290805,0.0005714260155192732,0.00010186216834823627,0.10099239345624206,0.018002862846177276,0.08189835308154465,0.2819316024434609,173729,0.0796470364763511,1,0.4409028347578777
tobacco,639,30,0.7,0.302540500736377,0.27967409521597,0.2764560385785718,0.05429988181042541,0.0013125460276203354,0.00013551567656204348,0.02417217098561586,0.002495690083362666,0.19163272469240156,0.44263480583665477,173729,0.16289163006751894,1,0.4409028347578777
tranquilizer_misuse,639,30,0.7,0.12740167633784655,0.025342465753424658,0.1780673586737361,0.024262844133152273,0.0015433109460428079,9.818204880007947e-05,0.06360799820388979,0.004046600978074349,0.12343204111900385,0.44263480583665477,173729,0.09864213804258357,1,0.4409028347578777
