drug,n,prevalence,B,alpha,tree_baseline_f1,tree_rappor_f1,tree_dpseg_f1,logreg_baseline_f1,logreg_rappor_f1,logreg_dpseg_f1,js_global,epsilon
marijuana,173729,0.2363278439408504,30,0.7,0.3987220008245156,0.38181648115237116,0.37403133565699975,0.45853000674308836,0.3187311975510635,0.33371500962311496,0.4003606511606134,10
cocaine,173729,0.019357735323405994,30,0.7,0.04237214927436075,0.03806406181603639,0.03786229564178085,0.06908256880733946,0.03669954857047317,0.037579278051093595,0.4003606511606134,10
crack,173729,0.0028895578746208177,30,0.7,0.006547579812361304,0.008298755186721992,0.005706134094151213,0.012658227848101266,0.004722655379817331,0.006175352877307275,0.4003606511606134,10
heroin,173729,0.003154338078271331,30,0.7,0.007153515316422365,0.0,0.0063619085725717716,0.01611295681063123,0.006048299995679786,0.007180953044933245,0.4003606511606134,10
methamphetamine,173729,0.008593844435874264,30,0.7,0.01911978501255562,0.017040963855421688,0.016798105329980224,0.04434250764525994,0.01694186446508428,0.016957163958641063,0.4003606511606134,10
inhalants,173729,0.012467693937108946,30,0.7,0.026549218959023648,0.024633680186876193,0.025056215868936717,0.039951573849878935,0.024191980086344368,0.025230703579239344,0.4003606511606134,10
hallucinogens,173729,0.037564252370070626,30,0.7,0.07851967085601998,0.006469500924214418,0.0724511003632267,0.12186291450670617,0.07234445577735685,0.07018519990461808,0.4003606511606134,10
tobacco,173729,0.16289163006751894,30,0.7,0.302540500736377,0.2799185956087957,0.11077749683944374,0.40186823015005463,0.24685808912677057,0.2510614132345385,0.4003606511606134,10
nicotine_vaping,115739,0.1784532439367888,30,0.7,0.3278776929921536,0.01181592039800995,0.2090670170827858,0.4122025176881375,0.26049204052098407,0.2701167315175097,0.4003606511606134,10
opioid_misuse,173729,0.22239810279227992,30,0.7,0.37221374045801525,0.005454700417625501,0.3529813218390805,0.3906582997868814,0.3080798504834909,0.3239632750359933,0.4003606511606134,10
tranquilizer_misuse,173729,0.09864213804258357,30,0.7,0.12740167633784655,0.1793287929183605,0.17577511368334023,0.25456872644528195,0.16165206993504186,0.1650614816160882,0.4003606511606134,10
sedative_misuse,173729,0.042117320654582714,30,0.7,0.11339846475924634,0.08056301509399018,0.07952112552977673,0.12302779864763336,0.07548976285167182,0.07850950406547844,0.4003606511606134,10
stimulant_misuse,173729,0.0796470364763511,30,0.7,0.11082547843473294,0.0037045612410280156,0.1466386634122344,0.1956482647005934,0.1363045235668342,0.13768375761921836,0.4003606511606134,10
pain_reliever_misuse,173729,0.22173039619176993,30,0.7,0.3726790450928382,0.3616050204430921,0.15606484069312465,0.39089161959117114,0.30657601246943106,0.3012278923059592,0.4003606511606134,10
