epsilon,group,members,B,alpha,js_global,n,prevalence,acc_tree_baseline,acc_tree_rappor,acc_tree_dpseg,acc_logreg_baseline,acc_logreg_rappor,acc_logreg_dpseg,delta_tree_rappor,delta_tree_dpseg,delta_logreg_rappor,delta_logreg_dpseg,match_rappor,hamming_rappor,match_dpseg,hamming_dpseg,mi_baseline,mi_rappor,mi_dpseg,mi_ratio_rappor,mi_ratio_dpseg,privacy_utility_score
1.0,illicit,"marijuana,cocaine,crack,heroin,methamphetamine,inhalants,hallucinogens",30,0.7,0.4409028347578777,173729,0.24872646478135488,0.4153650038242543,0.3983567208271787,0.3907250163291966,0.46702914422655706,0.33460621748378994,0.3290334349672947,-0.017008282997075574,-0.02463998749505769,-0.13242292674276712,-0.13799570925926236,0.002935606605690472,0.9970643933943095,0.043412441215916746,0.9565875587840833,0.038761922583588224,0.0015120516751853663,9.736361566873783e-05,0.03900868621582687,0.002511836595792633,0.27116680382883146
1.0,nicotine,"tobacco,nicotine_vaping",30,0.7,0.4409028347578777,115739,0.2595927042742723,0.4377513087019194,0.41163599511712,0.10361681329423265,0.49712523956336974,0.3379484196238123,0.34079147640791474,-0.026115313584799404,-0.33413449540768675,-0.15917681993955746,-0.156333763155455,0.002790761973060075,0.99720923802694,0.03560597551387173,0.9643940244861283,0.0581650287371821,0.0021920298601556297,7.313068829490309e-05,0.037686388328978346,0.0012572965213400499,0.07191103438396934
1.0,prescription_misuse,"opioid_misuse,tranquilizer_misuse,sedative_misuse,stimulant_misuse,pain_reliever_misuse",30,0.7,0.4409028347578777,173729,0.3195033644354138,0.4872345648705045,0.01838171136059566,0.4663704562284684,0.47861176413562445,0.38305868748193117,0.3740500276813126,-0.4688528535099088,-0.020864108642036083,-0.09555307665369328,-0.10456173645431183,0.003108289347201676,0.9968917106527984,0.050014678033028455,0.9499853219669715,0.02312494244032078,0.00144867310069169,8.4162008149992e-05,0.06264547920196227,0.003639447249098733,0.32366544431626093
3.0,illicit,"marijuana,cocaine,crack,heroin,methamphetamine,inhalants,hallucinogens",30,0.7,0.4052837335586774,173729,0.24872646478135488,0.4153650038242543,0.3978599071804123,0.1361659417865507,0.46702914422655706,0.3284891132527663,0.3346707818930041,-0.017505096643841977,-0.2791990620377036,-0.13854003097379075,-0.13235836233355297,0.0032003868093409852,0.996799613190659,0.04443126939083285,0.9555687306091671,0.038761922583588224,0.0013383282640266475,0.00010417717126032754,0.0345268803718548,0.0026876162046832034,0.0968956933997451
3.0,nicotine,"tobacco,nicotine_vaping",30,0.7,0.4052837335586774,115739,0.2595927042742723,0.4377513087019194,0.008703220191470844,0.09013824884792626,0.49712523956336974,0.3359443689553193,0.32955699029520447,-0.42904808851044857,-0.34761305985399316,-0.16118087060805042,-0.16756824926816527,0.0030154053516964897,0.9969845946483035,0.03631446616957119,0.9636855338304288,0.0581650287371821,0.002164534267274509,0.00012399697733014425,0.03721367141508565,0.002131813222175526,0.06414238398651652
3.0,prescription_misuse,"opioid_misuse,tranquilizer_misuse,sedative_misuse,stimulant_misuse,pain_reliever_misuse",30,0.7,0.4052837335586774,173729,0.3195033644354138,0.4872345648705045,0.48323188575441883,0.12075917002655129,0.47861176413562445,0.3917846291542031,0.3766802822131452,-0.00400267911608565,-0.3664753948439532,-0.08682713498142136,-0.10193148192247925,0.003211898992108399,0.9967881010078916,0.05057301889724801,0.949426981102752,0.02312494244032078,0.0014674666464352874,0.0001115944991457638,0.06345817509481037,0.004825720082709785,0.08593223357161205
5.0,illicit,"marijuana,cocaine,crack,heroin,methamphetamine,inhalants,hallucinogens",30,0.7,0.40247649792706774,173729,0.24872646478135488,0.4153650038242543,0.3978428160830732,0.17041567326630042,0.46702914422655706,0.329800629590766,0.3055994546186979,-0.017522187741181083,-0.24494933055795387,-0.13722851463579105,-0.16142968960785914,0.003033460159213488,0.9969665398407865,0.04420678182686828,0.9557932181731317,0.038761922583588224,0.0016017788367525734,0.0001232432717359032,0.041323513644051436,0.003179493263527757,0.1215105376226864
5.0,nicotine,"tobacco,nicotine_vaping",30,0.7,0.40247649792706774,115739,0.2595927042742723,0.4377513087019194,0.4114312053468541,0.4018613166526814,0.49712523956336974,0.3371632786381278,0.34629418051818817,-0.026320103355065294,-0.03588999204923804,-0.15996196092524195,-0.15083105904518157,0.0029894849618538263,0.9970105150381462,0.03551093408444863,0.9644890659155514,0.0581650287371821,0.002412468168506627,0.00013780367389232273,0.04147626539320271,0.0023691843171777115,0.286536934662829
5.0,prescription_misuse,"opioid_misuse,tranquilizer_misuse,sedative_misuse,stimulant_misuse,pain_reliever_misuse",30,0.7,0.40247649792706774,173729,0.3195033644354138,0.4872345648705045,0.4833606269739151,0.46967466390565094,0.47861176413562445,0.3791641429436705,0.3729769494850417,-0.003873937896589408,-0.017559900964853548,-0.09944762119195394,-0.10563481465058278,0.003050728433364608,0.9969492715666354,0.051045018390711974,0.948954981609288,0.02312494244032078,0.0013898658771106338,6.746496047451995e-05,0.06010245779843568,0.002917410957827409,0.33488950766722597
10.0,illicit,"marijuana,cocaine,crack,heroin,methamphetamine,inhalants,hallucinogens",30,0.7,0.4003606511606134,173729,0.24872646478135488,0.4153650038242543,0.3979119227969082,0.15107078805781202,0.46702914422655706,0.3302209296392673,0.31671166455452093,-0.017453081027346107,-0.2642942157664423,-0.13680821458728976,-0.15031747967203613,0.0032579477231780532,0.996742052276822,0.04484570797045974,0.9551542920295403,0.038761922583588224,0.0014522496906316127,6.438532020132046e-05,0.03746588388385293,0.0016610455805559337,0.10787991502946412
10.0,nicotine,"tobacco,nicotine_vaping",30,0.7,0.4003606511606134,115739,0.2595927042742723,0.4377513087019194,0.41133219980699415,0.14239897370109045,0.49712523956336974,0.34218335155395907,0.3297940797940798,-0.02641910889492527,-0.29535233500082897,-0.15494188800941067,-0.16733115976928992,0.0032054882105426864,0.9967945117894573,0.03567509655345216,0.9643249034465479,0.0581650287371821,0.0023951585187641494,0.00013498794920514118,0.041178669911548414,0.002320775079731885,0.10168735716979103
10.0,prescription_misuse,"opioid_misuse,tranquilizer_misuse,sedative_misuse,stimulant_misuse,pain_reliever_misuse",30,0.7,0.4003606511606134,173729,0.3195033644354138,0.4872345648705045,0.002987393200693075,0.47198859809863897,0.47861176413562445,0.3825128893283424,0.37345398214856523,-0.4842471716698114,-0.015245966771865516,-0.09609887480728208,-0.10515778198705922,0.003114045438585383,0.9968859545614146,0.05122345722360688,0.9487765427763931,0.02312494244032078,0.0013670655495624587,7.286100029088366e-05,0.05911649523411723,0.00315075380096267,0.3370478867050832
