epsilon,drug,B,alpha,js_global,n,prevalence,acc_tree_baseline,acc_tree_rappor,acc_tree_dpseg,acc_logreg_baseline,acc_logreg_rappor,acc_logreg_dpseg,delta_tree_rappor,delta_tree_dpseg,delta_logreg_rappor,delta_logreg_dpseg,match_rappor,hamming_rappor,match_dpseg,hamming_dpseg,mi_baseline,mi_rappor,mi_dpseg,mi_ratio_rappor,mi_ratio_dpseg,privacy_utility_score
10.0,cocaine,30,0.7,0.4003606511606134,173729,0.019357735323405994,0.04237214927436075,0.03820591697998557,0.03830216630525796,0.06908256880733946,0.039093554071220754,0.03957294463623578,-0.004166232294375176,-0.004069982969102784,-0.029989014736118702,-0.029509624171103678,0.0030161918850623672,0.9969838081149376,0.08392381237444525,0.9160761876255548,0.01013308479996462,0.001660765118059015,0.0001242417036404073,0.16389531429410456,0.012260995155279971,0.027351644216447583
3.0,crack,30,0.7,0.4052837335586774,173729,0.0028895578746208177,0.006547579812361304,0.010309278350515464,0.00822429906542056,0.012658227848101266,0.005749086479902558,0.0068834212067955475,0.00376169853815416,0.0016767192530592568,-0.006909141368198707,-0.005774806641305718,0.002929850514306765,0.9970701494856933,0.21293508855746593,0.7870649114425341,0.00417744958071124,0.0015119617215509679,7.379416216350878e-05,0.36193416397704214,0.017664883977114288,0.005852411772100795
10.0,hallucinogens,30,0.7,0.4003606511606134,173729,0.037564252370070626,0.07851967085601998,0.07239229552433238,0.0724858843277888,0.12186291450670617,0.0729050279329609,0.07027161724395714,-0.006127375331687598,-0.00603378652823118,-0.048957886573745266,-0.051591297262749025,0.003327020819782535,0.9966729791802175,0.053842478803193476,0.9461575211968065,0.013547617218109237,0.0015957926820489967,6.543916547308167e-05,0.11779139138326734,0.0048303081213136485,0.05176229728228423
5.0,heroin,30,0.7,0.40247649792706774,173729,0.003154338078271331,0.007153515316422365,0.00784313725490196,0.0064068549417290645,0.01611295681063123,0.005743317870554451,0.006664895800632682,0.0006896219384795958,-0.0007466603746933004,-0.010369638940076779,-0.009448061009998548,0.0031025332558179694,0.996897466744182,0.18575482504360238,0.8142451749563976,0.004382365129632597,0.0014144253791660696,0.00011097804743362644,0.32275388684572026,0.02532377931797994,0.004568244067689352
3.0,inhalants,30,0.7,0.4052837335586774,173729,0.012467693937108946,0.026549218959023648,0.02467673854498921,0.0247382349557013,0.039951573849878935,0.025014749262536874,0.023842169408897013,-0.001872480414034438,-0.0018109840033223475,-0.014936824587342062,-0.016109404440981922,0.0030967771644342624,0.9969032228355658,0.07421328621013187,0.9257867137898681,0.005385106667635345,0.0016595280911109705,6.84285902356647e-05,0.30816995716812534,0.012707007392615379,0.017603729670345864
10.0,marijuana,30,0.7,0.4003606511606134,173729,0.2363278439408504,0.3987220008245156,0.3820931790214801,0.3767324860661263,0.45853000674308836,0.322921249450066,0.33578363384188625,-0.016628821803035487,-0.021989514758389284,-0.13560875729302235,-0.1227463729012021,0.003056484524748315,0.9969435154752517,0.05079175036982887,0.9492082496301711,0.039295271960494954,0.0014437382543015023,7.732838009125902e-05,0.0367407624956241,0.0019678800077780403,0.2690253298347764
10.0,methamphetamine,30,0.7,0.4003606511606134,173729,0.008593844435874264,0.01911978501255562,0.017159786079796853,0.017071069346210103,0.04434250764525994,0.01770525950355841,0.017368868191686856,-0.001959998932758767,-0.0020487156663455165,-0.026637248141701528,-0.026973639453573083,0.003142825895503917,0.996857174104496,0.16031865721900201,0.8396813427809979,0.008466845057088218,0.0015171219218774277,5.2733286937814734e-05,0.1791838532119273,0.006228209750179356,0.012190480596596075
5.0,nicotine_vaping,30,0.7,0.40247649792706774,115739,0.1784532439367888,0.3278776929921536,0.3022837574831859,0.298632797123888,0.4122025176881375,0.25804704076565393,0.2755196799771412,-0.025593935508967658,-0.029244895868265564,-0.15415547692248355,-0.13668283771099626,0.0029290040522209453,0.997070995947779,0.038284415797613595,0.9617155842023865,0.05483569776743507,0.0022326047286981648,0.00011882568412956585,0.04071444003807366,0.002166940313835709,0.21293247877257312
1.0,opioid_misuse,30,0.7,0.4409028347578777,173729,0.22239810279227992,0.37221374045801525,0.005632841170948195,0.3568220535852563,0.3906582997868814,0.308217154216026,0.30854339543865145,-0.36658089928706705,-0.015391686872758936,-0.08244114557085536,-0.08211490434822993,0.002751411681411854,0.9972485883185881,0.04821302142992822,0.9517869785700718,0.020121341735948026,0.0015686469484855353,0.0001052422863120411,0.07795936121312677,0.005230381139246754,0.24763783162742886
10.0,pain_reliever_misuse,30,0.7,0.4003606511606134,173729,0.22173039619176993,0.3726790450928382,0.013209597859710726,0.3574978174736418,0.39089161959117114,0.30785334693220245,0.3080979880283733,-0.3594694472331275,-0.015181227619196436,-0.08303827265896868,-0.08279363156279784,0.003315508637015121,0.9966844913629849,0.052691260526452115,0.9473087394735479,0.019851978802733566,0.0016534312003240713,6.324066253063018e-05,0.08328797933717308,0.0031856100169682885,0.25528981921717736
