drug,K_new,B,alpha,acc_baseline,acc_rappor,acc_dpseg,mi_baseline,mi_rappor,mi_dpseg,mi_ratio_rappor,mi_ratio_dpseg,privacy_utility_score,js_divergence,n,prevalence
cocaine,30,30,0.7,0.9806404574147624,0.9806404574147624,0.9806404574147624,0.001358452053425877,5.5275362107783484e-05,5.5275362107783484e-05,0.040689961760803174,0.040689961760803174,0.9170291888337406,0.0693666781336821,173729,0.019357735323405994
crack,30,30,0.7,0.9971027840135076,0.9971027840135076,0.9971027840135076,0.0009754357175097774,9.56313622111473e-05,9.56313622111473e-05,0.09803963551313029,0.09803963551313029,0.9324236526181146,0.0693666781336821,173729,0.0028895578746208177
hallucinogens,30,30,0.7,0.9624321264797866,0.9624321264797866,0.9624321264797866,0.00103673209199883,8.563464988578095e-05,8.563464988578095e-05,0.08260055856926013,0.08260055856926013,0.900001978890418,0.0693666781336821,173729,0.037564252370070626
heroin,30,30,0.7,0.9968533548226175,0.9968533548226175,0.9968533548226175,0.000784820635136264,6.076927469555104e-05,6.076927469555104e-05,0.07743078096436648,0.07743078096436648,0.9321904031668362,0.0693666781336821,173729,0.003154338078271331
inhalants,30,30,0.7,0.9875285404554961,0.9875285404554961,0.9875285404554961,0.00018162179367179325,7.262814127461802e-05,7.2628141274618e-05,0.39988670856242914,0.399886708562429,0.9234704621421209,0.0693666781336821,173729,0.012467693937108946
marijuana,30,30,0.7,0.7636754350620695,0.7636754350620695,0.7636754350620695,0.004024537445502193,7.386103347198369e-05,7.386103347198369e-05,0.01835267641863551,0.01835267641863551,0.7141380507525052,0.0693666781336821,173729,0.2363278439408504
methamphetamine,30,30,0.7,0.9914042863447111,0.9914042863447111,0.9914042863447111,0.002046469036207642,6.0435688827379115e-05,6.0435688827379115e-05,0.029531689831659443,0.029531689831659443,0.9270947997696775,0.0693666781336821,173729,0.008593844435874264
nicotine_vaping,30,30,0.7,0.8215540579459708,0.8215540579459708,0.8215540579459708,0.005311836410741256,0.00011533106611264496,0.00011533106611264496,0.02171208922764072,0.02171208922764072,0.7667065130356528,0.07153655796291306,115739,0.1784532439367888
opioid_misuse,30,30,0.7,0.7776050960302385,0.7776050960302385,0.7776050960302385,0.0028890151791506873,8.822598935868752e-05,8.822598935868752e-05,0.030538430533488647,0.030538430533488647,0.7271641354931294,0.0693666781336821,173729,0.22239810279227992
pain_reliever_misuse,30,30,0.7,0.7782766361595579,0.7782766361595579,0.7782766361595579,0.002812727585358608,8.895646695258967e-05,8.895646695258972e-05,0.03162640684282555,0.03162640684282557,0.7277921147850327,0.0693666781336821,173729,0.22173039619176993
sedative_misuse,30,30,0.7,0.9578848404612521,0.9578848404612521,0.9578848404612521,0.0010434308413116845,6.945270041355123e-05,6.945270041355123e-05,0.06656186271650075,0.06656186271650075,0.8957496619709581,0.0693666781336821,173729,0.042117320654582714
stimulant_misuse,30,30,0.7,0.9203553406627142,0.9203553406627142,0.9203553406627142,0.0005854983873083533,8.552092934179754e-05,8.552092934179754e-05,0.14606518343279032,0.14606518343279032,0.8606545906863016,0.0693666781336821,173729,0.0796470364763511
tobacco,30,30,0.7,0.837103551487941,0.837103551487941,0.837103551487941,0.010363596454513485,8.386748100393845e-05,8.386748100393845e-05,0.008092507400499277,0.008092507400499277,0.7828031007557673,0.0693666781336821,173729,0.16289163006751894
tranquilizer_misuse,30,30,0.7,0.9013603484333929,0.9013603484333929,0.9013603484333929,0.002188689171286237,5.918892729676336e-05,5.918892729676336e-05,0.02704309413747386,0.02704309413747386,0.8428917478581779,0.0693666781336821,173729,0.09864213804258357
