drug,K_new,B,alpha,f1_baseline,f1_rappor,f1_dpseg,mi_baseline,mi_rappor,mi_dpseg,mi_ratio_rappor,mi_ratio_dpseg,privacy_utility_score,js_divergence,n,prevalence,epsilon,js_global
marijuana,639,30,0.7,0.45830195049736383,0.31086080282701123,0.32947076293879934,0.039295271960494954,0.0013803722800578456,6.349002876921968e-05,0.035128202737611455,0.0016157167415216936,0.2283812657269995,0.44263480583665477,173729,0.2363278439408504,1.0,0.4409028347578777
marijuana,639,30,0.7,0.45830195049736383,0.31086080282701123,0.32947076293879934,0.039295271960494954,0.0013803722800578456,6.349002876921968e-05,0.035128202737611455,0.0016157167415216936,0.2283812657269995,0.44263480583665477,173729,0.2363278439408504,1.0,0.4409028347578777
marijuana,500,30,0.7,0.44691527572364254,0.32294661589867124,0.3179592481440531,0.033961587639407334,0.0011723800687708404,7.8670690618848e-05,0.03452076743934282,0.00231646092209077,0.22416069439831254,0.4184433582234952,173729,0.2363278439408504,1.0,0.4409028347578777
marijuana,200,30,0.7,0.39823008849557523,0.318084993077005,0.31655214822340455,0.016369444194309746,0.00043753410952851435,7.702538970941501e-05,0.026728708949116765,0.004705437081131328,0.24693372690089835,0.2819316024434609,173729,0.2363278439408504,1.0,0.4409028347578777
marijuana,100,30,0.7,0.3780324027773809,0.3171329051921193,0.301716457801271,0.011052527670744132,0.00025164882350118916,8.965924796491918e-05,0.022768440939288453,0.00811210346048224,0.25730828915351245,0.17258740009446105,173729,0.2363278439408504,1.0,0.4409028347578777
marijuana,50,30,0.7,0.3604822766129257,0.3343548659540069,0.3387689212268676,0.0047273498041412836,0.00017139854972367946,0.00010927638243382566,0.03625679436151093,0.023115780926153733,0.31329513278913046,0.08130923774957821,173729,0.2363278439408504,1.0,0.4409028347578777
marijuana,30,30,0.7,0.3226515656229181,0.3431992018623212,0.3431992018623212,0.003614835143632553,7.845088545328858e-05,7.845088545328858e-05,0.021702479459257767,0.021702479459257767,0.32123753441392333,0.06836581997949116,173729,0.2363278439408504,1.0,0.4409028347578777
cocaine,639,30,0.7,0.0689125028261361,0.03720699491504403,0.03917575176710195,0.01013308479996462,0.0015687176401716638,0.00012811791443115083,0.154811458814313,0.012643525339055503,0.027155695681681555,0.44263480583665477,173729,0.019357735323405994,1.0,0.4409028347578777
cocaine,639,30,0.7,0.0689125028261361,0.03720699491504403,0.03917575176710195,0.01013308479996462,0.0015687176401716638,0.00012811791443115083,0.154811458814313,0.012643525339055503,0.027155695681681555,0.44263480583665477,173729,0.019357735323405994,1.0,0.4409028347578777
cocaine,500,30,0.7,0.06696326193643076,0.038298035310788556,0.03658874618867227,0.008858294207835111,0.0011710894495584898,7.45215977574171e-05,0.13220259138860704,0.008412635210456565,0.025794999833124964,0.4184433582234952,173729,0.019357735323405994,1.0,0.4409028347578777
cocaine,200,30,0.7,0.05994769664051499,0.03921428059359094,0.037251655629139076,0.004511599967280672,0.0005678986660078628,5.3809017595567404e-05,0.12587522611189284,0.011926814874059041,0.029059004051491154,0.2819316024434609,173729,0.019357735323405994,1.0,0.4409028347578777
