drug,K_new,B,alpha,f1_baseline,f1_rappor,f1_dpseg,mi_baseline,mi_rappor,mi_dpseg,mi_ratio_rappor,mi_ratio_dpseg,privacy_utility_score,js_divergence,n,prevalence,epsilon,js_global
cocaine,30,30,0.7,0.05156537753222836,0.0378626563747671,0.0378626563747671,0.0011948707621762802,7.724563131579601e-05,7.7245631315796e-05,0.06464768723196852,0.06464768723196851,0.03543978632290382,0.06836581997949116,173729,0.019357735323405994,1.0,0.4409028347578777
crack,30,30,0.7,0.01402049148755874,0.006586021505376344,0.006586021505376344,0.00102089289490052,0.00014401209519279993,0.00014401209519279993,0.14106484226911292,0.14106484226911292,0.006164575262715511,0.06836581997949116,173729,0.0028895578746208177,1.0,0.4409028347578777
hallucinogens,30,30,0.7,0.08305912507360327,0.07117810912665902,0.07117810912665902,0.0009774999245810213,8.143346178146312e-05,8.143346178146312e-05,0.08330789571811717,0.08330789571811717,0.06662334922697676,0.06836581997949116,173729,0.037564252370070626,1.0,0.4409028347578777
heroin,30,30,0.7,0.011806093852483454,0.0062529681810986225,0.0062529681810986225,0.0008680529456334209,5.381449691291775e-05,5.381449691291775e-05,0.06199448683818376,0.06199448683818376,0.005852834360817212,0.06836581997949116,173729,0.003154338078271331,1.0,0.4409028347578777
inhalants,30,30,0.7,0.031114246463446328,0.02494688506613666,0.02494688506613666,0.0007377620424283759,0.00010579147618086323,0.00010579147618086323,0.14339511942447727,0.14339511942447727,0.023350508411637085,0.06836581997949116,173729,0.012467693937108946,1.0,0.4409028347578777
marijuana,30,30,0.7,0.3226515656229181,0.3431992018623212,0.3431992018623212,0.003614835143632553,7.845088545328858e-05,7.845088545328858e-05,0.021702479459257767,0.021702479459257767,0.32123753441392333,0.06836581997949116,173729,0.2363278439408504,1.0,0.4409028347578777
methamphetamine,50,30,0.7,0.034536082474226806,0.01717298518704494,0.017989773448288733,0.002166292269273781,0.00010338386370767607,6.217921080345313e-05,0.047723876031895755,0.02870305714763864,0.016637029279181103,0.08130923774957821,173729,0.008593844435874264,1.0,0.4409028347578777
nicotine_vaping,50,30,0.7,0.29752611324903794,0.26490928321536084,0.2687615964628321,0.00606910049278784,0.00010439677212929982,5.988226269480019e-05,0.01720135829903604,0.00986674430024033,0.2431784083292314,0.10520337027193823,115739,0.1784532439367888,1.0,0.4409028347578777
opioid_misuse,30,30,0.7,0.35126543285936074,0.3269004471640386,0.3269004471640386,0.004249929744636145,8.13984220225984e-05,8.13984220225984e-05,0.019152886497790157,0.019152886497790157,0.3059817536752663,0.06836581997949116,173729,0.22239810279227992,1.0,0.4409028347578777
pain_reliever_misuse,30,30,0.7,0.353451266042317,0.33283214573663683,0.33283214573663683,0.004154137341575107,8.19774984543814e-05,8.19774984543814e-05,0.019733940337971188,0.019733940337971188,0.31153387679795486,0.06836581997949116,173729,0.22173039619176993,1.0,0.4409028347578777
sedative_misuse,30,30,0.7,0.09289472688041792,0.0794435541614102,0.0794435541614102,0.0013180375941970956,7.05292797311317e-05,7.05292797311317e-05,0.053510825519431246,0.053510825519431246,0.074359879992169,0.06836581997949116,173729,0.042117320654582714,1.0,0.4409028347578777
stimulant_misuse,50,30,0.7,0.16246635674088575,0.13963358139812906,0.13726268439505193,0.002097259226189446,0.00014569665777458248,7.927585515405105e-05,0.06947002828987515,0.03779974080652348,0.126941192771758,0.08130923774957821,173729,0.0796470364763511,1.0,0.4409028347578777
tobacco,30,30,0.7,0.30158183002029954,0.2518747123636265,0.2518747123636265,0.00843525044363992,0.00010614816592053363,0.00010614816592053363,0.012583878407613625,0.012583878407613625,0.2357569922711133,0.06836581997949116,173729,0.16289163006751894,1.0,0.4409028347578777
tranquilizer_misuse,30,30,0.7,0.2003966107806021,0.16410795884151352,0.16410795884151352,0.003255478406919045,8.166377662480103e-05,8.166377662480103e-05,0.025085030959270557,0.025085030959270557,0.15360652294610455,0.06836581997949116,173729,0.09864213804258357,1.0,0.4409028347578777
