drug,K_new,B,alpha,f1_baseline,f1_rappor,f1_dpseg,mi_baseline,mi_rappor,mi_dpseg,mi_ratio_rappor,mi_ratio_dpseg,privacy_utility_score,js_divergence,n,prevalence,epsilon,js_global
cocaine,100,30,0.7,0.05619350109943806,0.03782965845222654,0.039107295127760296,0.003167671012500452,0.00026424244355456296,9.523985668474566e-05,0.08341852500205788,0.030066208362201904,0.035163580388300954,0.11215338984000131,173729,0.019357735323405994,3.0,0.4052837335586774
crack,100,30,0.7,0.0125,0.006387327542156361,0.005833304738702261,0.0013665412230650415,0.0003129726771630114,0.00011720262097921219,0.22902541970965135,0.08576588763003884,0.00524505413730876,0.11215338984000131,173729,0.0028895578746208177,3.0,0.4052837335586774
hallucinogens,500,30,0.7,0.11573364761343548,0.07107352177461236,0.06795148695796643,0.011450966754030288,0.001143107625014149,0.00010877388618942254,0.09982629847491438,0.009499100689567405,0.04922642399891967,0.3803864152199581,173729,0.037564252370070626,3.0,0.4052837335586774
heroin,200,30,0.7,0.012135447249951067,0.007187368582023932,0.00650903815237423,0.0021508390749311363,0.0006527277773393086,0.00013755721295449712,0.3034758782965699,0.06395513944198791,0.0053582129035068685,0.2147778129745767,173729,0.003154338078271331,3.0,0.4052837335586774
inhalants,30,30,0.7,0.031114246463446328,0.023813341885824246,0.023813341885824246,0.0007377620424283759,9.932295066347822e-05,9.932295066347822e-05,0.13462735265771114,0.13462735265771114,0.02331329992564402,0.02144878510442841,173729,0.012467693937108946,3.0,0.4052837335586774
marijuana,639,30,0.7,0.45830195049736383,0.3182133148552849,0.3117590875891904,0.039295271960494954,0.0014201781417203473,0.0001112517927746397,0.03614119640520892,0.002831175030077038,0.2219783274324519,0.4044573233576545,173729,0.2363278439408504,3.0,0.4052837335586774
methamphetamine,30,30,0.7,0.028824184193567286,0.01720047449584816,0.01720047449584816,0.001942788225471155,9.891975134232675e-05,9.891975134232675e-05,0.05091638401212631,0.05091638401212631,0.016839292137480647,0.02144878510442841,173729,0.008593844435874264,3.0,0.4052837335586774
nicotine_vaping,200,30,0.7,0.3560087090435983,0.2545503694359344,0.25084745762711863,0.02190087468053087,0.0007371476658772781,0.00017200610089473782,0.03365836646390097,0.007853846177552231,0.20404624388281772,0.22936572050391912,115739,0.1784532439367888,3.0,0.4052837335586774
opioid_misuse,639,30,0.7,0.38941805261114926,0.3018418846185054,0.31598182787238904,0.020121341735948026,0.0014601163931517714,0.00011431482944875048,0.07256555811798489,0.005681272697859902,0.22498499784740142,0.4044573233576545,173729,0.22239810279227992,3.0,0.4052837335586774
pain_reliever_misuse,30,30,0.7,0.353451266042317,0.33754512635379064,0.33754512635379064,0.004154137341575107,9.484800640373987e-05,9.484800640373987e-05,0.022832178766573168,0.022832178766573168,0.33045722044623266,0.02144878510442841,173729,0.22173039619176993,3.0,0.4052837335586774
sedative_misuse,500,30,0.7,0.12010789834839809,0.07415288917989851,0.07849263533762672,0.00876259747086992,0.001164199905026736,8.046836366979685e-05,0.13286013752166095,0.009183163318559723,0.056862799048279025,0.3803864152199581,173729,0.042117320654582714,3.0,0.4052837335586774
stimulant_misuse,200,30,0.7,0.1770980392156863,0.13933256303948888,0.14157228514323783,0.005658109447290805,0.0005457359981171264,0.00014091855105109134,0.09645200454339632,0.024905589466560327,0.11654171127522947,0.2147778129745767,173729,0.0796470364763511,3.0,0.4052837335586774
tobacco,639,30,0.7,0.4020994216561361,0.2440384724830687,0.2528882854727566,0.05429988181042541,0.0014653749647840658,8.55727518147345e-05,0.02698670634127823,0.001575928877957609,0.18006121031016684,0.4044573233576545,173729,0.16289163006751894,3.0,0.4052837335586774
tranquilizer_misuse,639,30,0.7,0.25459719011203985,0.1667589125834283,0.16558825575732275,0.024262844133152273,0.0015687098028265465,0.00011297377821427464,0.0646548192873684,0.004656246299662351,0.1179019490328469,0.4044573233576545,173729,0.09864213804258357,3.0,0.4052837335586774
