drug,n,prevalence,B,alpha,tree_baseline_f1,tree_rappor_f1,tree_dpseg_f1,logreg_baseline_f1,logreg_rappor_f1,logreg_dpseg_f1,js_global,epsilon
marijuana,173729,0.2363278439408504,30,0.7,0.45830195049736383,0.3209106023788208,0.3154664928858477,0.45853000674308836,0.32083098807757254,0.3154664928858477,0.40247649792706774,5.0
cocaine,173729,0.019357735323405994,30,0.7,0.0689125028261361,0.03698446494755934,0.037754286221906366,0.06908256880733946,0.037162162162162164,0.037754286221906366,0.40247649792706774,5.0
crack,173729,0.0028895578746208177,30,0.7,0.012479046377351461,0.006594131223211342,0.004918839153959666,0.012658227848101266,0.0065830590392067,0.004918839153959666,0.40247649792706774,5.0
heroin,173729,0.003154338078271331,30,0.7,0.01641382740611788,0.006170987786586673,0.006747448620990188,0.01611295681063123,0.006151979897755827,0.006747448620990188,0.40247649792706774,5.0
methamphetamine,173729,0.008593844435874264,30,0.7,0.044291714394807176,0.017935743963141224,0.017518176938466794,0.04434250764525994,0.01812120694076417,0.017518176938466794,0.40247649792706774,5.0
inhalants,173729,0.012467693937108946,30,0.7,0.03983039958884749,0.023650138293181546,0.023761209661582773,0.039951573849878935,0.0236871687811145,0.023761209661582773,0.40247649792706774,5.0
hallucinogens,173729,0.037564252370070626,30,0.7,0.12205111402359109,0.06765049678550555,0.07194645844952594,0.12186291450670617,0.06760147601476015,0.07194645844952594,0.40247649792706774,5.0
tobacco,173729,0.16289163006751894,30,0.7,0.4020994216561361,0.236484235393888,0.2229579770784064,0.40186823015005463,0.23649139811000727,0.21188277800080288,0.40247649792706774,5.0
nicotine_vaping,115739,0.1784532439367888,30,0.7,0.41171348700792815,0.2620603797074385,0.2722783917234893,0.4122025176881375,0.26170811196928434,0.2722783917234893,0.40247649792706774,5.0
opioid_misuse,173729,0.22239810279227992,30,0.7,0.38941805261114926,0.3152113642964645,0.3126222199045707,0.3906582997868814,0.3143641549164379,0.3126222199045707,0.40247649792706774,5.0
tranquilizer_misuse,173729,0.09864213804258357,30,0.7,0.25459719011203985,0.16390392984087965,0.1673499925183301,0.25456872644528195,0.16303944393832034,0.1673499925183301,0.40247649792706774,5.0
sedative_misuse,173729,0.042117320654582714,30,0.7,0.12275617053103964,0.07973951297239253,0.0776965877857478,0.12302779864763336,0.07998052648050909,0.07506584723441616,0.40247649792706774,5.0
stimulant_misuse,173729,0.0796470364763511,30,0.7,0.19544951244776226,0.13713695243015833,0.1364027699794123,0.1956482647005934,0.13649719195150073,0.1364027699794123,0.40247649792706774,5.0
pain_reliever_misuse,173729,0.22173039619176993,30,0.7,0.39048679046335893,0.30038733443484383,0.2924757281553398,0.39089161959117114,0.29883663229861607,0.2985141076298069,0.40247649792706774,5.0
