drug,K_new,B,alpha,f1_baseline,f1_rappor,f1_dpseg,mi_baseline,mi_rappor,mi_dpseg,mi_ratio_rappor,mi_ratio_dpseg,privacy_utility_score,js_divergence,n,prevalence,epsilon,js_global
marijuana,639,30,0.7,0.45830195049736383,0.3182133148552849,0.3117590875891904,0.039295271960494954,0.0014201781417203473,0.0001112517927746397,0.03614119640520892,0.002831175030077038,0.2219783274324519,0.4044573233576545,173729,0.2363278439408504,3.0,0.4052837335586774
marijuana,500,30,0.7,0.44691527572364254,0.3216494845360825,0.3422949935988141,0.033961587639407334,0.0012278581779233658,7.24505036771711e-05,0.03615432208176924,0.0021333073249232655,0.24797041598259353,0.3803864152199581,173729,0.2363278439408504,3.0,0.4052837335586774
marijuana,200,30,0.7,0.39823008849557523,0.322958287735729,0.31809397749834545,0.016369444194309746,0.0005011173341919927,0.0001020787904090336,0.030612971842146498,0.006235935026096834,0.2618536279646413,0.2147778129745767,173729,0.2363278439408504,3.0,0.4052837335586774
marijuana,100,30,0.7,0.3780324027773809,0.3142198055692865,0.27512002451564577,0.011052527670744132,0.00025133053194420203,8.79014515247599e-05,0.0227396428610145,0.00795306323977217,0.24737597082289664,0.11215338984000131,173729,0.2363278439408504,3.0,0.4052837335586774
marijuana,50,30,0.7,0.3604822766129257,0.3424331948732757,0.3374474053295933,0.0047273498041412836,0.00016851348481872246,9.919080550288301e-05,0.03564650212072316,0.020982328283806972,0.32625904623074653,0.03429287012300582,173729,0.2363278439408504,3.0,0.4052837335586774
marijuana,30,30,0.7,0.3226515656229181,0.2974951597289448,0.2974951597289448,0.003614835143632553,7.91228182137409e-05,7.912281821374084e-05,0.02188836145214364,0.021888361452143623,0.2912482388419799,0.02144878510442841,173729,0.2363278439408504,3.0,0.4052837335586774
cocaine,639,30,0.7,0.0689125028261361,0.039038567276726104,0.03728731748521781,0.01013308479996462,0.001604318502767653,6.889076020219048e-05,0.15832478800268746,0.0067985970276722655,0.026549270572404814,0.4044573233576545,173729,0.019357735323405994,3.0,0.4052837335586774
cocaine,500,30,0.7,0.06696326193643076,0.037737427830307084,0.035923925804179385,0.008858294207835111,0.0011974575408888672,7.464731143113581e-05,0.135179247019107,0.008426826844959686,0.026024543133782635,0.3803864152199581,173729,0.019357735323405994,3.0,0.4052837335586774
cocaine,200,30,0.7,0.05994769664051499,0.03939321737749186,0.036734693877551024,0.004511599967280672,0.0004517937116903185,5.770435400580441e-05,0.10014046346459066,0.012790219528391655,0.030239845908611288,0.2147778129745767,173729,0.019357735323405994,3.0,0.4052837335586774
cocaine,100,30,0.7,0.05619350109943806,0.03782965845222654,0.039107295127760296,0.003167671012500452,0.00026424244355456296,9.523985668474566e-05,0.08341852500205788,0.030066208362201904,0.035163580388300954,0.11215338984000131,173729,0.019357735323405994,3.0,0.4052837335586774
cocaine,50,30,0.7,0.05049809484460359,0.038117739712541836,0.037710087448392444,0.001493650399688755,0.00012149136274801855,7.738534653480857e-05,0.08133855336786625,0.051809544288900555,0.03645977704932615,0.03429287012300582,173729,0.019357735323405994,3.0,0.4052837335586774
cocaine,30,30,0.7,0.05156537753222836,0.03556521241923495,0.03556521241923495,0.0011948707621762802,7.107280777578865e-05,7.107280777578865e-05,0.059481585812962784,0.059481585812962784,0.03481840003911593,0.02144878510442841,173729,0.019357735323405994,3.0,0.4052837335586774
crack,639,30,0.7,0.012479046377351461,0.005278150134048257,0.004042390473068939,0.00417744958071124,0.001452648019903946,6.406304252671101e-05,0.34773561998481917,0.01533544362151316,0.0028782579618757964,0.4044573233576545,173729,0.0028895578746208177,3.0,0.4052837335586774
crack,500,30,0.7,0.01170844327176781,0.006249724924079046,0.006315711260541665,0.0036215757427369667,0.0011691457079090752,8.488334321363299e-05,0.32282790447052917,0.023438234968263656,0.004575321222308093,0.3803864152199581,173729,0.0028895578746208177,3.0,0.4052837335586774
crack,200,30,0.7,0.012292464878671775,0.005585270033606286,0.006551480506133984,0.0021859165332659847,0.0004858103685933661,0.00010554696862196105,0.22224561697582995,0.04828499488233569,0.005393151271088531,0.2147778129745767,173729,0.0028895578746208177,3.0,0.4052837335586774
crack,100,30,0.7,0.0125,0.006387327542156361,0.005833304738702261,0.0013665412230650415,0.0003129726771630114,0.00011720262097921219,0.22902541970965135,0.08576588763003884,0.00524505413730876,0.11215338984000131,173729,0.0028895578746208177,3.0,0.4052837335586774
crack,50,30,0.7,0.016868512110726645,0.005470852017937219,0.005528640638358506,0.001125491013941168,0.00011300886921959945,4.809435047080214e-05,0.1004085042170818,0.04273188312929181,0.005345333800571398,0.03429287012300582,173729,0.0028895578746208177,3.0,0.4052837335586774
crack,30,30,0.7,0.01402049148755874,0.006403296305576436,0.006403296305576436,0.00102089289490052,0.00010227114851773896,0.00010227114851773896,0.10017813722535965,0.10017813722535965,0.006268837360183252,0.02144878510442841,173729,0.0028895578746208177,3.0,0.4052837335586774
heroin,639,30,0.7,0.01641382740611788,0.0060911938739993034,0.007108239095315024,0.004382365129632597,0.0014394484712679611,0.00010787648428432055,0.3284638382901334,0.024616042044256718,0.005061199779514313,0.4044573233576545,173729,0.003154338078271331,3.0,0.4052837335586774
heroin,500,30,0.7,0.01624246483590087,0.006561574777946708,0.006030627456294891,0.0038997303806653618,0.001114389864850822,7.387663909632375e-05,0.2857607465315814,0.018944037634652862,0.004368796584638903,0.3803864152199581,173729,0.003154338078271331,3.0,0.4052837335586774
heroin,200,30,0.7,0.012135447249951067,0.007187368582023932,0.00650903815237423,0.0021508390749311363,0.0006527277773393086,0.00013755721295449712,0.3034758782965699,0.06395513944198791,0.0053582129035068685,0.2147778129745767,173729,0.003154338078271331,3.0,0.4052837335586774
heroin,100,30,0.7,0.01110774512773907,0.006962839627639446,0.006481895395619133,0.001396369895011489,0.0002536429369510828,7.368276706623951e-05,0.18164451830221956,0.052767370114086616,0.0058282386717821745,0.11215338984000131,173729,0.003154338078271331,3.0,0.4052837335586774
heroin,50,30,0.7,0.010245559329584052,0.006607474705760892,0.00608866620156022,0.001038095078058747,0.0001302860269805045,7.178259967651054e-05,0.12550490772400277,0.06914838649533438,0.00588679123432042,0.03429287012300582,173729,0.003154338078271331,3.0,0.4052837335586774
heroin,30,30,0.7,0.011806093852483454,0.006065061569564418,0.006065061569564418,0.0008680529456334209,5.0178496858367674e-05,5.0178496858367674e-05,0.05780580218151587,0.05780580218151587,0.005937705010774821,0.02144878510442841,173729,0.003154338078271331,3.0,0.4052837335586774
methamphetamine,639,30,0.7,0.044291714394807176,0.017185821697099892,0.01793128789270623,0.008466845057088218,0.0015816649490986265,7.890866685912403e-05,0.18680688478815358,0.009319724918440995,0.012767413857644079,0.4044573233576545,173729,0.008593844435874264,3.0,0.4052837335586774
