drug,K_new,B,alpha,f1_baseline,f1_rappor,f1_dpseg,mi_baseline,mi_rappor,mi_dpseg,mi_ratio_rappor,mi_ratio_dpseg,privacy_utility_score,js_divergence,n,prevalence,epsilon,js_global
cocaine,50,30,0.7,0.05049809484460359,0.038824463860206514,0.038113784949227986,0.001493650399688755,0.00013722355162160143,7.799358201966243e-05,0.09187126495610748,0.0522167583766018,0.03698454036261245,0.030532881456520194,173729,0.019357735323405994,5.0,0.40247649792706774
crack,30,30,0.7,0.01402049148755874,0.006608536025699862,0.006608536025699862,0.00102089289490052,0.00011239352644734226,0.00011239352644734226,0.11009335749985245,0.11009335749985245,0.006490574783717345,0.018174236629773022,173729,0.0028895578746208177,5.0,0.40247649792706774
hallucinogens,50,30,0.7,0.08774128854349461,0.07088826453425545,0.07113257179921444,0.0014036003571049162,0.0001469040096650947,7.21603433484523e-05,0.10466227720837915,0.05141088984708663,0.06902503848172033,0.030532881456520194,173729,0.037564252370070626,5.0,0.40247649792706774
heroin,30,30,0.7,0.011806093852483454,0.006284644988172157,0.006284644988172157,0.0008680529456334209,6.68965931598743e-05,6.68965931598743e-05,0.077065107026461,0.077065107026461,0.006172465146019374,0.018174236629773022,173729,0.003154338078271331,5.0,0.40247649792706774
inhalants,50,30,0.7,0.03228661749209694,0.025169179627211206,0.026625154329271566,0.0009287244934430101,0.00014350436282552966,7.184338531598818e-05,0.1545176894102617,0.07735704810545814,0.02583629771389776,0.030532881456520194,173729,0.012467693937108946,5.0,0.40247649792706774
marijuana,30,30,0.7,0.3226515656229181,0.32242834783054936,0.32242834783054936,0.003614835143632553,7.343073412240878e-05,7.343073412240878e-05,0.0203137158970459,0.0203137158970459,0.31667305676267105,0.018174236629773022,173729,0.2363278439408504,5.0,0.40247649792706774
methamphetamine,30,30,0.7,0.028824184193567286,0.017500132576761945,0.017500132576761945,0.001942788225471155,0.00010237445335144312,0.00010237445335144312,0.052694602535289604,0.052694602535289604,0.017187758192240842,0.018174236629773022,173729,0.008593844435874264,5.0,0.40247649792706774
nicotine_vaping,100,30,0.7,0.3315920004221413,0.27020488394949727,0.27816601329469914,0.01345390745013925,0.0003471868600181183,0.00011187195414652431,0.02580565246972357,0.008315201703380709,0.24933931272633833,0.11561233667151173,115739,0.1784532439367888,5.0,0.40247649792706774
opioid_misuse,30,30,0.7,0.35126543285936074,0.3367703379487395,0.3367703379487395,0.004249929744636145,9.496710908746676e-05,9.496710908746676e-05,0.022345571525582315,0.022345571525582315,0.33075904480108687,0.018174236629773022,173729,0.22239810279227992,5.0,0.40247649792706774
pain_reliever_misuse,30,30,0.7,0.353451266042317,0.33856611789697294,0.33856611789697294,0.004154137341575107,9.534821565503125e-05,9.534821565503125e-05,0.022952591071261613,0.022952591071261613,0.33252277038324024,0.018174236629773022,173729,0.22173039619176993,5.0,0.40247649792706774
sedative_misuse,30,30,0.7,0.09289472688041792,0.07895608399019673,0.07895608399019673,0.0013180375941970956,8.217053588398501e-05,8.217053588398501e-05,0.06234308964004972,0.06234308964004972,0.07754673134486963,0.018174236629773022,173729,0.042117320654582714,5.0,0.40247649792706774
stimulant_misuse,50,30,0.7,0.16246635674088575,0.14102018223622584,0.13963668198730575,0.002097259226189446,0.0001234437534485634,9.34014477986158e-05,0.05885955913654553,0.04453500389092046,0.13549949205885406,0.030532881456520194,173729,0.0796470364763511,5.0,0.40247649792706774
tobacco,30,30,0.7,0.30158183002029954,0.26350693317256413,0.26350693317256413,0.00843525044363992,7.00678854655693e-05,7.00678854655693e-05,0.008306556626116497,0.008306556626116497,0.25880337931628505,0.018174236629773022,173729,0.16289163006751894,5.0,0.40247649792706774
tranquilizer_misuse,30,30,0.7,0.2003966107806021,0.16920415224913496,0.16920415224913496,0.003255478406919045,7.747055627708993e-05,7.747055627708993e-05,0.023796980533625275,0.023796980533625275,0.16618388696340655,0.018174236629773022,173729,0.09864213804258357,5.0,0.40247649792706774
